Garden_ID,Garden_Name,BOM_Category,Item,Specification,Quantity,Unit,Unit_Cost,Total_Cost,Supplier,Notes
GD-04,Leaf Garden,Safety/storage,,,,,,,,
GD-05,Butterfly Garden,Site preparation,,,,,,,,
GD-05,Butterfly Garden,Structure/bed,,,,,,,,
GD-05,Butterfly Garden,Water/irrigation,,,,,,,,
GD-05,Butterfly Garden,Growing medium/input,,,,,,,,
GD-05,Butterfly Garden,Planting material,,,,,,,,
GD-05,Butterfly Garden,Tools,,,,,,,,
GD-05,Butterfly Garden,Measurement,,,,,,,,
GD-05,Butterfly Garden,Learning signage,,,,,,,,
GD-05,Butterfly Garden,Safety/storage,,,,,,,,
GD-06,ReBottle Garden,Site preparation,,,,,,,,
GD-06,ReBottle Garden,Structure/bed,,,,,,,,
GD-06,ReBottle Garden,Water/irrigation,,,,,,,,
GD-06,ReBottle Garden,Growing medium/input,,,,,,,,
GD-06,ReBottle Garden,Planting material,,,,,,,,
GD-06,ReBottle Garden,Tools,,,,,,,,
GD-06,ReBottle Garden,Measurement,,,,,,,,
GD-06,ReBottle Garden,Learning signage,,,,,,,,
GD-06,ReBottle Garden,Safety/storage,,,,,,,,
GD-07,MicroGrow Garden,Site preparation,,,,,,,,
GD-07,MicroGrow Garden,Structure/bed,,,,,,,,
GD-07,MicroGrow Garden,Water/irrigation,,,,,,,,
GD-07,MicroGrow Garden,Growing medium/input,,,,,,,,
GD-07,MicroGrow Garden,Planting material,,,,,,,,
GD-07,MicroGrow Garden,Tools,,,,,,,,
GD-07,MicroGrow Garden,Measurement,,,,,,,,
GD-07,MicroGrow Garden,Learning signage,,,,,,,,
GD-07,MicroGrow Garden,Safety/storage,,,,,,,,
GD-08,Mini Table Garden,Site preparation,,,,,,,,
GD-08,Mini Table Garden,Structure/bed,,,,,,,,
GD-08,Mini Table Garden,Water/irrigation,,,,,,,,
GD-08,Mini Table Garden,Growing medium/input,,,,,,,,
GD-08,Mini Table Garden,Planting material,,,,,,,,
GD-08,Mini Table Garden,Tools,,,,,,,,
GD-08,Mini Table Garden,Measurement,,,,,,,,
GD-08,Mini Table Garden,Learning signage,,,,,,,,
GD-08,Mini Table Garden,Safety/storage,,,,,,,,
GD-09,Sack Garden,Site preparation,,,,,,,,
GD-09,Sack Garden,Structure/bed,,,,,,,,
GD-09,Sack Garden,Water/irrigation,,,,,,,,
GD-09,Sack Garden,Growing medium/input,,,,,,,,
GD-09,Sack Garden,Planting material,,,,,,,,
GD-09,Sack Garden,Tools,,,,,,,,
GD-09,Sack Garden,Measurement,,,,,,,,
GD-09,Sack Garden,Learning signage,,,,,,,,
GD-09,Sack Garden,Safety/storage,,,,,,,,
GD-10,Discovery Garden,Site preparation,,,,,,,,
GD-10,Discovery Garden,Structure/bed,,,,,,,,
GD-10,Discovery Garden,Water/irrigation,,,,,,,,
GD-10,Discovery Garden,Growing medium/input,,,,,,,,
GD-10,Discovery Garden,Planting material,,,,,,,,
GD-10,Discovery Garden,Tools,,,,,,,,
GD-10,Discovery Garden,Measurement,,,,,,,,
GD-10,Discovery Garden,Learning signage,,,,,,,,
GD-10,Discovery Garden,Safety/storage,,,,,,,,
GD-11,Alphabet Food Garden,Site preparation,,,,,,,,
GD-11,Alphabet Food Garden,Structure/bed,,,,,,,,
GD-11,Alphabet Food Garden,Water/irrigation,,,,,,,,
GD-11,Alphabet Food Garden,Growing medium/input,,,,,,,,
GD-11,Alphabet Food Garden,Planting material,,,,,,,,
GD-11,Alphabet Food Garden,Tools,,,,,,,,
GD-11,Alphabet Food Garden,Measurement,,,,,,,,
GD-11,Alphabet Food Garden,Learning signage,,,,,,,,
GD-11,Alphabet Food Garden,Safety/storage,,,,,,,,
GD-12,Number Food Garden,Site preparation,,,,,,,,
GD-12,Number Food Garden,Structure/bed,,,,,,,,
GD-12,Number Food Garden,Water/irrigation,,,,,,,,
GD-12,Number Food Garden,Growing medium/input,,,,,,,,
GD-12,Number Food Garden,Planting material,,,,,,,,
GD-12,Number Food Garden,Tools,,,,,,,,
GD-12,Number Food Garden,Measurement,,,,,,,,
GD-12,Number Food Garden,Learning signage,,,,,,,,
GD-12,Number Food Garden,Safety/storage,,,,,,,,
GD-13,Geometry Garden,Site preparation,,,,,,,,
GD-13,Geometry Garden,Structure/bed,,,,,,,,
GD-13,Geometry Garden,Water/irrigation,,,,,,,,
GD-13,Geometry Garden,Growing medium/input,,,,,,,,
GD-13,Geometry Garden,Planting material,,,,,,,,
GD-13,Geometry Garden,Tools,,,,,,,,
GD-13,Geometry Garden,Measurement,,,,,,,,
GD-13,Geometry Garden,Learning signage,,,,,,,,
GD-13,Geometry Garden,Safety/storage,,,,,,,,
GD-14,Leaf Garden,Site preparation,,,,,,,,
GD-14,Leaf Garden,Structure/bed,,,,,,,,
GD-14,Leaf Garden,Water/irrigation,,,,,,,,
GD-14,Leaf Garden,Growing medium/input,,,,,,,,
GD-14,Leaf Garden,Planting material,,,,,,,,
GD-14,Leaf Garden,Tools,,,,,,,,
GD-14,Leaf Garden,Measurement,,,,,,,,
GD-14,Leaf Garden,Learning signage,,,,,,,,
GD-14,Leaf Garden,Safety/storage,,,,,,,,
GD-15,Pollinator Garden,Site preparation,,,,,,,,
GD-15,Pollinator Garden,Structure/bed,,,,,,,,
GD-15,Pollinator Garden,Water/irrigation,,,,,,,,
GD-15,Pollinator Garden,Growing medium/input,,,,,,,,
GD-15,Pollinator Garden,Planting material,,,,,,,,
GD-15,Pollinator Garden,Tools,,,,,,,,
GD-15,Pollinator Garden,Measurement,,,,,,,,
GD-15,Pollinator Garden,Learning signage,,,,,,,,
GD-15,Pollinator Garden,Safety/storage,,,,,,,,
GD-16,Raised Food Garden,Site preparation,,,,,,,,
GD-16,Raised Food Garden,Structure/bed,,,,,,,,
GD-16,Raised Food Garden,Water/irrigation,,,,,,,,
GD-16,Raised Food Garden,Growing medium/input,,,,,,,,
GD-16,Raised Food Garden,Planting material,,,,,,,,
GD-16,Raised Food Garden,Tools,,,,,,,,
GD-16,Raised Food Garden,Measurement,,,,,,,,
GD-16,Raised Food Garden,Learning signage,,,,,,,,
GD-16,Raised Food Garden,Safety/storage,,,,,,,,
GD-17,ReBottle Wall Garden,Site preparation,,,,,,,,
GD-17,ReBottle Wall Garden,Structure/bed,,,,,,,,
GD-17,ReBottle Wall Garden,Water/irrigation,,,,,,,,
GD-17,ReBottle Wall Garden,Growing medium/input,,,,,,,,
GD-17,ReBottle Wall Garden,Planting material,,,,,,,,
GD-17,ReBottle Wall Garden,Tools,,,,,,,,
GD-17,ReBottle Wall Garden,Measurement,,,,,,,,
GD-17,ReBottle Wall Garden,Learning signage,,,,,,,,
GD-17,ReBottle Wall Garden,Safety/storage,,,,,,,,
GD-18,Sack GrowBag Garden,Site preparation,,,,,,,,
GD-18,Sack GrowBag Garden,Structure/bed,,,,,,,,
GD-18,Sack GrowBag Garden,Water/irrigation,,,,,,,,
GD-18,Sack GrowBag Garden,Growing medium/input,,,,,,,,
GD-18,Sack GrowBag Garden,Planting material,,,,,,,,
GD-18,Sack GrowBag Garden,Tools,,,,,,,,
GD-18,Sack GrowBag Garden,Measurement,,,,,,,,
GD-18,Sack GrowBag Garden,Learning signage,,,,,,,,
GD-18,Sack GrowBag Garden,Safety/storage,,,,,,,,
GD-19,Ground Production Garden,Site preparation,,,,,,,,
GD-19,Ground Production Garden,Structure/bed,,,,,,,,
GD-19,Ground Production Garden,Water/irrigation,,,,,,,,
GD-19,Ground Production Garden,Growing medium/input,,,,,,,,
GD-19,Ground Production Garden,Planting material,,,,,,,,
GD-19,Ground Production Garden,Tools,,,,,,,,
GD-19,Ground Production Garden,Measurement,,,,,,,,
GD-19,Ground Production Garden,Learning signage,,,,,,,,
GD-19,Ground Production Garden,Safety/storage,,,,,,,,
GD-20,Discovery Production Garden,Site preparation,,,,,,,,
GD-20,Discovery Production Garden,Structure/bed,,,,,,,,
GD-20,Discovery Production Garden,Water/irrigation,,,,,,,,
GD-20,Discovery Production Garden,Growing medium/input,,,,,,,,
GD-20,Discovery Production Garden,Planting material,,,,,,,,
GD-20,Discovery Production Garden,Tools,,,,,,,,
GD-20,Discovery Production Garden,Measurement,,,,,,,,
GD-20,Discovery Production Garden,Learning signage,,,,,,,,
GD-20,Discovery Production Garden,Safety/storage,,,,,,,,
GD-21,Raised Food Garden,Site preparation,,,,,,,,
GD-21,Raised Food Garden,Structure/bed,,,,,,,,
GD-21,Raised Food Garden,Water/irrigation,,,,,,,,
GD-21,Raised Food Garden,Growing medium/input,,,,,,,,
GD-21,Raised Food Garden,Planting material,,,,,,,,
GD-21,Raised Food Garden,Tools,,,,,,,,
GD-21,Raised Food Garden,Measurement,,,,,,,,
GD-21,Raised Food Garden,Learning signage,,,,,,,,
GD-21,Raised Food Garden,Safety/storage,,,,,,,,
GD-22,Geometry Garden,Site preparation,,,,,,,,
GD-22,Geometry Garden,Structure/bed,,,,,,,,
GD-22,Geometry Garden,Water/irrigation,,,,,,,,
GD-22,Geometry Garden,Growing medium/input,,,,,,,,
GD-22,Geometry Garden,Planting material,,,,,,,,
GD-22,Geometry Garden,Tools,,,,,,,,
GD-22,Geometry Garden,Measurement,,,,,,,,
GD-22,Geometry Garden,Learning signage,,,,,,,,
GD-22,Geometry Garden,Safety/storage,,,,,,,,
GD-23,Grid Experiment Garden,Site preparation,,,,,,,,
GD-23,Grid Experiment Garden,Structure/bed,,,,,,,,
GD-23,Grid Experiment Garden,Water/irrigation,,,,,,,,
GD-23,Grid Experiment Garden,Growing medium/input,,,,,,,,
GD-23,Grid Experiment Garden,Planting material,,,,,,,,
GD-23,Grid Experiment Garden,Tools,,,,,,,,
GD-23,Grid Experiment Garden,Measurement,,,,,,,,
GD-23,Grid Experiment Garden,Learning signage,,,,,,,,
GD-23,Grid Experiment Garden,Safety/storage,,,,,,,,
GD-24,Keyhole Garden,Site preparation,,,,,,,,
GD-24,Keyhole Garden,Structure/bed,,,,,,,,
GD-24,Keyhole Garden,Water/irrigation,,,,,,,,
GD-24,Keyhole Garden,Growing medium/input,,,,,,,,
GD-24,Keyhole Garden,Planting material,,,,,,,,
GD-24,Keyhole Garden,Tools,,,,,,,,
GD-24,Keyhole Garden,Measurement,,,,,,,,
GD-24,Keyhole Garden,Learning signage,,,,,,,,
GD-24,Keyhole Garden,Safety/storage,,,,,,,,
GD-25,Compost Garden,Site preparation,,,,,,,,
GD-25,Compost Garden,Structure/bed,,,,,,,,
GD-25,Compost Garden,Water/irrigation,,,,,,,,
GD-25,Compost Garden,Growing medium/input,,,,,,,,
GD-25,Compost Garden,Planting material,,,,,,,,
GD-25,Compost Garden,Tools,,,,,,,,
GD-25,Compost Garden,Measurement,,,,,,,,
GD-25,Compost Garden,Learning signage,,,,,,,,
GD-25,Compost Garden,Safety/storage,,,,,,,,
GD-26,Gravity Drip Garden,Site preparation,,,,,,,,
GD-26,Gravity Drip Garden,Structure/bed,,,,,,,,
GD-26,Gravity Drip Garden,Water/irrigation,,,,,,,,
GD-26,Gravity Drip Garden,Growing medium/input,,,,,,,,
GD-26,Gravity Drip Garden,Planting material,,,,,,,,
GD-26,Gravity Drip Garden,Tools,,,,,,,,
GD-26,Gravity Drip Garden,Measurement,,,,,,,,
GD-26,Gravity Drip Garden,Learning signage,,,,,,,,
GD-26,Gravity Drip Garden,Safety/storage,,,,,,,,
GD-27,Vertical Garden,Site preparation,,,,,,,,
GD-27,Vertical Garden,Structure/bed,,,,,,,,
GD-27,Vertical Garden,Water/irrigation,,,,,,,,
GD-27,Vertical Garden,Growing medium/input,,,,,,,,
GD-27,Vertical Garden,Planting material,,,,,,,,
GD-27,Vertical Garden,Tools,,,,,,,,
GD-27,Vertical Garden,Measurement,,,,,,,,
GD-27,Vertical Garden,Learning signage,,,,,,,,
GD-27,Vertical Garden,Safety/storage,,,,,,,,
GD-28,Crop Rotation Garden,Site preparation,,,,,,,,
GD-28,Crop Rotation Garden,Structure/bed,,,,,,,,
GD-28,Crop Rotation Garden,Water/irrigation,,,,,,,,
GD-28,Crop Rotation Garden,Growing medium/input,,,,,,,,
GD-28,Crop Rotation Garden,Planting material,,,,,,,,
GD-28,Crop Rotation Garden,Tools,,,,,,,,
GD-28,Crop Rotation Garden,Measurement,,,,,,,,
GD-28,Crop Rotation Garden,Learning signage,,,,,,,,
GD-28,Crop Rotation Garden,Safety/storage,,,,,,,,
GD-29,Water-Smart Garden,Site preparation,,,,,,,,
GD-29,Water-Smart Garden,Structure/bed,,,,,,,,
GD-29,Water-Smart Garden,Water/irrigation,,,,,,,,
GD-29,Water-Smart Garden,Growing medium/input,,,,,,,,
GD-29,Water-Smart Garden,Planting material,,,,,,,,
GD-29,Water-Smart Garden,Tools,,,,,,,,
GD-29,Water-Smart Garden,Measurement,,,,,,,,
GD-29,Water-Smart Garden,Learning signage,,,,,,,,
GD-29,Water-Smart Garden,Safety/storage,,,,,,,,
GD-30,Intro Soilless Garden,Site preparation,,,,,,,,
GD-30,Intro Soilless Garden,Structure/bed,,,,,,,,
GD-30,Intro Soilless Garden,Water/irrigation,,,,,,,,
GD-30,Intro Soilless Garden,Growing medium/input,,,,,,,,
GD-30,Intro Soilless Garden,Planting material,,,,,,,,
GD-30,Intro Soilless Garden,Tools,,,,,,,,
GD-30,Intro Soilless Garden,Measurement,,,,,,,,
GD-30,Intro Soilless Garden,Learning signage,,,,,,,,
GD-30,Intro Soilless Garden,Safety/storage,,,,,,,,
GD-31,Production Garden,Site preparation,,,,,,,,
GD-31,Production Garden,Structure/bed,,,,,,,,
GD-31,Production Garden,Water/irrigation,,,,,,,,
GD-31,Production Garden,Growing medium/input,,,,,,,,
GD-31,Production Garden,Planting material,,,,,,,,
GD-31,Production Garden,Tools,,,,,,,,
GD-31,Production Garden,Measurement,,,,,,,,
GD-31,Production Garden,Learning signage,,,,,,,,
GD-31,Production Garden,Safety/storage,,,,,,,,
GD-32,Raised Systems Garden,Site preparation,,,,,,,,
GD-32,Raised Systems Garden,Structure/bed,,,,,,,,
GD-32,Raised Systems Garden,Water/irrigation,,,,,,,,
GD-32,Raised Systems Garden,Growing medium/input,,,,,,,,
GD-32,Raised Systems Garden,Planting material,,,,,,,,
GD-32,Raised Systems Garden,Tools,,,,,,,,
GD-32,Raised Systems Garden,Measurement,,,,,,,,
GD-32,Raised Systems Garden,Learning signage,,,,,,,,
GD-32,Raised Systems Garden,Safety/storage,,,,,,,,
GD-33,Grid Experiment Garden,Site preparation,,,,,,,,
GD-33,Grid Experiment Garden,Structure/bed,,,,,,,,
GD-33,Grid Experiment Garden,Water/irrigation,,,,,,,,
GD-33,Grid Experiment Garden,Growing medium/input,,,,,,,,
GD-33,Grid Experiment Garden,Planting material,,,,,,,,
GD-33,Grid Experiment Garden,Tools,,,,,,,,
GD-33,Grid Experiment Garden,Measurement,,,,,,,,
GD-33,Grid Experiment Garden,Learning signage,,,,,,,,
GD-33,Grid Experiment Garden,Safety/storage,,,,,,,,
GD-34,Crop Rotation Garden,Site preparation,,,,,,,,
GD-34,Crop Rotation Garden,Structure/bed,,,,,,,,
GD-34,Crop Rotation Garden,Water/irrigation,,,,,,,,
GD-34,Crop Rotation Garden,Growing medium/input,,,,,,,,
GD-34,Crop Rotation Garden,Planting material,,,,,,,,
GD-34,Crop Rotation Garden,Tools,,,,,,,,
GD-34,Crop Rotation Garden,Measurement,,,,,,,,
GD-34,Crop Rotation Garden,Learning signage,,,,,,,,
GD-34,Crop Rotation Garden,Safety/storage,,,,,,,,
GD-35,Intercropping Garden,Site preparation,,,,,,,,
GD-35,Intercropping Garden,Structure/bed,,,,,,,,
GD-35,Intercropping Garden,Water/irrigation,,,,,,,,
GD-35,Intercropping Garden,Growing medium/input,,,,,,,,
GD-35,Intercropping Garden,Planting material,,,,,,,,
GD-35,Intercropping Garden,Tools,,,,,,,,
GD-35,Intercropping Garden,Measurement,,,,,,,,
GD-35,Intercropping Garden,Learning signage,,,,,,,,
GD-35,Intercropping Garden,Safety/storage,,,,,,,,
GD-36,Water-Smart Garden,Site preparation,,,,,,,,
GD-36,Water-Smart Garden,Structure/bed,,,,,,,,
GD-36,Water-Smart Garden,Water/irrigation,,,,,,,,
GD-36,Water-Smart Garden,Growing medium/input,,,,,,,,
GD-36,Water-Smart Garden,Planting material,,,,,,,,
GD-36,Water-Smart Garden,Tools,,,,,,,,
GD-36,Water-Smart Garden,Measurement,,,,,,,,
GD-36,Water-Smart Garden,Learning signage,,,,,,,,
GD-36,Water-Smart Garden,Safety/storage,,,,,,,,
GD-37,Compost & Soil Garden,Site preparation,,,,,,,,
GD-37,Compost & Soil Garden,Structure/bed,,,,,,,,
GD-37,Compost & Soil Garden,Water/irrigation,,,,,,,,
GD-37,Compost & Soil Garden,Growing medium/input,,,,,,,,
GD-37,Compost & Soil Garden,Planting material,,,,,,,,
GD-37,Compost & Soil Garden,Tools,,,,,,,,
GD-37,Compost & Soil Garden,Measurement,,,,,,,,
GD-37,Compost & Soil Garden,Learning signage,,,,,,,,
GD-37,Compost & Soil Garden,Safety/storage,,,,,,,,
GD-38,Soilless Learning Garden,Site preparation,,,,,,,,
GD-38,Soilless Learning Garden,Structure/bed,,,,,,,,
GD-38,Soilless Learning Garden,Water/irrigation,,,,,,,,
GD-38,Soilless Learning Garden,Growing medium/input,,,,,,,,
GD-38,Soilless Learning Garden,Planting material,,,,,,,,
GD-38,Soilless Learning Garden,Tools,,,,,,,,
GD-38,Soilless Learning Garden,Measurement,,,,,,,,
GD-38,Soilless Learning Garden,Learning signage,,,,,,,,
GD-38,Soilless Learning Garden,Safety/storage,,,,,,,,
GD-39,Sensor-Ready Garden,Site preparation,,,,,,,,
GD-39,Sensor-Ready Garden,Structure/bed,,,,,,,,
GD-39,Sensor-Ready Garden,Water/irrigation,,,,,,,,
GD-39,Sensor-Ready Garden,Growing medium/input,,,,,,,,
GD-39,Sensor-Ready Garden,Planting material,,,,,,,,
GD-39,Sensor-Ready Garden,Tools,,,,,,,,
GD-39,Sensor-Ready Garden,Measurement,,,,,,,,
GD-39,Sensor-Ready Garden,Learning signage,,,,,,,,
GD-39,Sensor-Ready Garden,Safety/storage,,,,,,,,
GD-40,Applied Systems Garden,Site preparation,,,,,,,,
GD-40,Applied Systems Garden,Structure/bed,,,,,,,,
GD-40,Applied Systems Garden,Water/irrigation,,,,,,,,
GD-40,Applied Systems Garden,Growing medium/input,,,,,,,,
GD-40,Applied Systems Garden,Planting material,,,,,,,,
GD-40,Applied Systems Garden,Tools,,,,,,,,
GD-40,Applied Systems Garden,Measurement,,,,,,,,
GD-40,Applied Systems Garden,Learning signage,,,,,,,,
GD-40,Applied Systems Garden,Safety/storage,,,,,,,,
GD-41,Advanced Production Garden,Site preparation,,,,,,,,
GD-41,Advanced Production Garden,Structure/bed,,,,,,,,
GD-41,Advanced Production Garden,Water/irrigation,,,,,,,,
GD-41,Advanced Production Garden,Growing medium/input,,,,,,,,
GD-41,Advanced Production Garden,Planting material,,,,,,,,
GD-41,Advanced Production Garden,Tools,,,,,,,,
GD-41,Advanced Production Garden,Measurement,,,,,,,,
GD-41,Advanced Production Garden,Learning signage,,,,,,,,
GD-41,Advanced Production Garden,Safety/storage,,,,,,,,
GD-42,Crop Trial Garden,Site preparation,,,,,,,,
GD-42,Crop Trial Garden,Structure/bed,,,,,,,,
GD-42,Crop Trial Garden,Water/irrigation,,,,,,,,
GD-42,Crop Trial Garden,Growing medium/input,,,,,,,,
GD-42,Crop Trial Garden,Planting material,,,,,,,,
GD-42,Crop Trial Garden,Tools,,,,,,,,
GD-42,Crop Trial Garden,Measurement,,,,,,,,
GD-42,Crop Trial Garden,Learning signage,,,,,,,,
GD-42,Crop Trial Garden,Safety/storage,,,,,,,,
GD-43,Controlled Experiment Garden,Site preparation,,,,,,,,
GD-43,Controlled Experiment Garden,Structure/bed,,,,,,,,
GD-43,Controlled Experiment Garden,Water/irrigation,,,,,,,,
GD-43,Controlled Experiment Garden,Growing medium/input,,,,,,,,
GD-43,Controlled Experiment Garden,Planting material,,,,,,,,
GD-43,Controlled Experiment Garden,Tools,,,,,,,,
GD-43,Controlled Experiment Garden,Measurement,,,,,,,,
GD-43,Controlled Experiment Garden,Learning signage,,,,,,,,
GD-43,Controlled Experiment Garden,Safety/storage,,,,,,,,
GD-44,Irrigation Engineering Garden,Site preparation,,,,,,,,
GD-44,Irrigation Engineering Garden,Structure/bed,,,,,,,,
GD-44,Irrigation Engineering Garden,Water/irrigation,,,,,,,,
GD-44,Irrigation Engineering Garden,Growing medium/input,,,,,,,,
GD-44,Irrigation Engineering Garden,Planting material,,,,,,,,
GD-44,Irrigation Engineering Garden,Tools,,,,,,,,
GD-44,Irrigation Engineering Garden,Measurement,,,,,,,,
GD-44,Irrigation Engineering Garden,Learning signage,,,,,,,,
GD-44,Irrigation Engineering Garden,Safety/storage,,,,,,,,
GD-45,Water Productivity Garden,Site preparation,,,,,,,,
GD-45,Water Productivity Garden,Structure/bed,,,,,,,,
GD-45,Water Productivity Garden,Water/irrigation,,,,,,,,
GD-45,Water Productivity Garden,Growing medium/input,,,,,,,,
GD-45,Water Productivity Garden,Planting material,,,,,,,,
GD-45,Water Productivity Garden,Tools,,,,,,,,
GD-45,Water Productivity Garden,Measurement,,,,,,,,
GD-45,Water Productivity Garden,Learning signage,,,,,,,,
GD-45,Water Productivity Garden,Safety/storage,,,,,,,,
GD-46,Advanced Soilless Garden,Site preparation,,,,,,,,
GD-46,Advanced Soilless Garden,Structure/bed,,,,,,,,
GD-46,Advanced Soilless Garden,Water/irrigation,,,,,,,,
GD-46,Advanced Soilless Garden,Growing medium/input,,,,,,,,
GD-46,Advanced Soilless Garden,Planting material,,,,,,,,
GD-46,Advanced Soilless Garden,Tools,,,,,,,,
GD-46,Advanced Soilless Garden,Measurement,,,,,,,,
GD-46,Advanced Soilless Garden,Learning signage,,,,,,,,
GD-46,Advanced Soilless Garden,Safety/storage,,,,,,,,
GD-47,Sensor & Monitoring Garden,Site preparation,,,,,,,,
GD-47,Sensor & Monitoring Garden,Structure/bed,,,,,,,,
GD-47,Sensor & Monitoring Garden,Water/irrigation,,,,,,,,
GD-47,Sensor & Monitoring Garden,Growing medium/input,,,,,,,,
GD-47,Sensor & Monitoring Garden,Planting material,,,,,,,,
GD-47,Sensor & Monitoring Garden,Tools,,,,,,,,
GD-47,Sensor & Monitoring Garden,Measurement,,,,,,,,
GD-47,Sensor & Monitoring Garden,Learning signage,,,,,,,,
GD-47,Sensor & Monitoring Garden,Safety/storage,,,,,,,,
GD-48,Smart Irrigation Demonstrator,Site preparation,,,,,,,,
GD-48,Smart Irrigation Demonstrator,Structure/bed,,,,,,,,
GD-48,Smart Irrigation Demonstrator,Water/irrigation,,,,,,,,
GD-48,Smart Irrigation Demonstrator,Growing medium/input,,,,,,,,
GD-48,Smart Irrigation Demonstrator,Planting material,,,,,,,,
GD-48,Smart Irrigation Demonstrator,Tools,,,,,,,,
GD-48,Smart Irrigation Demonstrator,Measurement,,,,,,,,
GD-48,Smart Irrigation Demonstrator,Learning signage,,,,,,,,
GD-48,Smart Irrigation Demonstrator,Safety/storage,,,,,,,,
GD-49,Research & Design Garden,Site preparation,,,,,,,,
GD-49,Research & Design Garden,Structure/bed,,,,,,,,
GD-49,Research & Design Garden,Water/irrigation,,,,,,,,
GD-49,Research & Design Garden,Growing medium/input,,,,,,,,
GD-49,Research & Design Garden,Planting material,,,,,,,,
GD-49,Research & Design Garden,Tools,,,,,,,,
GD-49,Research & Design Garden,Measurement,,,,,,,,
GD-49,Research & Design Garden,Learning signage,,,,,,,,
GD-49,Research & Design Garden,Safety/storage,,,,,,,,
GD-50,Integrated Food Systems Laboratory,Site preparation,,,,,,,,
GD-50,Integrated Food Systems Laboratory,Structure/bed,,,,,,,,
GD-50,Integrated Food Systems Laboratory,Water/irrigation,,,,,,,,
GD-50,Integrated Food Systems Laboratory,Growing medium/input,,,,,,,,
GD-50,Integrated Food Systems Laboratory,Planting material,,,,,,,,
GD-50,Integrated Food Systems Laboratory,Tools,,,,,,,,
GD-50,Integrated Food Systems Laboratory,Measurement,,,,,,,,
GD-50,Integrated Food Systems Laboratory,Learning signage,,,,,,,,
GD-50,Integrated Food Systems Laboratory,Safety/storage,,,,,,,,
