PA_ID,Level,Garden,Activity,Learning_Objective,Expected_Evidence
PA-017,Nursery,Number Garden,COMPARE - Number Garden,"Help learners compare and talk about numbers, counting and quantities through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-018,Nursery,Number Garden,DRAW - Number Garden,"Help learners draw and talk about numbers, counting and quantities through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-019,Nursery,Number Garden,CARE - Number Garden,"Help learners care and talk about numbers, counting and quantities through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-020,Nursery,Number Garden,DISCOVER - Number Garden,"Help learners discover and talk about numbers, counting and quantities through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-021,Nursery,Geometry Garden,SEE - Geometry Garden,"Help learners see and talk about shapes, sides, corners, length and garden layout through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-022,Nursery,Geometry Garden,SAY - Geometry Garden,"Help learners say and talk about shapes, sides, corners, length and garden layout through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-023,Nursery,Geometry Garden,FIND - Geometry Garden,"Help learners find and talk about shapes, sides, corners, length and garden layout through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-024,Nursery,Geometry Garden,COUNT - Geometry Garden,"Help learners count and talk about shapes, sides, corners, length and garden layout through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-025,Nursery,Geometry Garden,MATCH - Geometry Garden,"Help learners match and talk about shapes, sides, corners, length and garden layout through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-026,Nursery,Geometry Garden,SORT - Geometry Garden,"Help learners sort and talk about shapes, sides, corners, length and garden layout through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-027,Nursery,Geometry Garden,COMPARE - Geometry Garden,"Help learners compare and talk about shapes, sides, corners, length and garden layout through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-028,Nursery,Geometry Garden,DRAW - Geometry Garden,"Help learners draw and talk about shapes, sides, corners, length and garden layout through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-029,Nursery,Geometry Garden,CARE - Geometry Garden,"Help learners care and talk about shapes, sides, corners, length and garden layout through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-030,Nursery,Geometry Garden,DISCOVER - Geometry Garden,"Help learners discover and talk about shapes, sides, corners, length and garden layout through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-031,Nursery,Leaf Garden,SEE - Leaf Garden,"Help learners see and talk about leaf color, shape, size and texture through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-032,Nursery,Leaf Garden,SAY - Leaf Garden,"Help learners say and talk about leaf color, shape, size and texture through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-033,Nursery,Leaf Garden,FIND - Leaf Garden,"Help learners find and talk about leaf color, shape, size and texture through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-034,Nursery,Leaf Garden,COUNT - Leaf Garden,"Help learners count and talk about leaf color, shape, size and texture through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-035,Nursery,Leaf Garden,MATCH - Leaf Garden,"Help learners match and talk about leaf color, shape, size and texture through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-036,Nursery,Leaf Garden,SORT - Leaf Garden,"Help learners sort and talk about leaf color, shape, size and texture through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-037,Nursery,Leaf Garden,COMPARE - Leaf Garden,"Help learners compare and talk about leaf color, shape, size and texture through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-038,Nursery,Leaf Garden,DRAW - Leaf Garden,"Help learners draw and talk about leaf color, shape, size and texture through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-039,Nursery,Leaf Garden,CARE - Leaf Garden,"Help learners care and talk about leaf color, shape, size and texture through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-040,Nursery,Leaf Garden,DISCOVER - Leaf Garden,"Help learners discover and talk about leaf color, shape, size and texture through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-041,Nursery,Butterfly Garden,SEE - Butterfly Garden,"Help learners see and talk about flowers and harmless garden visitors through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-042,Nursery,Butterfly Garden,SAY - Butterfly Garden,"Help learners say and talk about flowers and harmless garden visitors through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-043,Nursery,Butterfly Garden,FIND - Butterfly Garden,"Help learners find and talk about flowers and harmless garden visitors through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-044,Nursery,Butterfly Garden,COUNT - Butterfly Garden,"Help learners count and talk about flowers and harmless garden visitors through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-045,Nursery,Butterfly Garden,MATCH - Butterfly Garden,"Help learners match and talk about flowers and harmless garden visitors through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-046,Nursery,Butterfly Garden,SORT - Butterfly Garden,"Help learners sort and talk about flowers and harmless garden visitors through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-047,Nursery,Butterfly Garden,COMPARE - Butterfly Garden,"Help learners compare and talk about flowers and harmless garden visitors through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-048,Nursery,Butterfly Garden,DRAW - Butterfly Garden,"Help learners draw and talk about flowers and harmless garden visitors through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-049,Nursery,Butterfly Garden,CARE - Butterfly Garden,"Help learners care and talk about flowers and harmless garden visitors through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-050,Nursery,Butterfly Garden,DISCOVER - Butterfly Garden,"Help learners discover and talk about flowers and harmless garden visitors through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-051,Nursery,ReBottle Garden,SEE - ReBottle Garden,"Help learners see and talk about reused bottle planters and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-052,Nursery,ReBottle Garden,SAY - ReBottle Garden,"Help learners say and talk about reused bottle planters and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-053,Nursery,ReBottle Garden,FIND - ReBottle Garden,"Help learners find and talk about reused bottle planters and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-054,Nursery,ReBottle Garden,COUNT - ReBottle Garden,"Help learners count and talk about reused bottle planters and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-055,Nursery,ReBottle Garden,MATCH - ReBottle Garden,"Help learners match and talk about reused bottle planters and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-056,Nursery,ReBottle Garden,SORT - ReBottle Garden,"Help learners sort and talk about reused bottle planters and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-057,Nursery,ReBottle Garden,COMPARE - ReBottle Garden,"Help learners compare and talk about reused bottle planters and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-058,Nursery,ReBottle Garden,DRAW - ReBottle Garden,"Help learners draw and talk about reused bottle planters and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-059,Nursery,ReBottle Garden,CARE - ReBottle Garden,"Help learners care and talk about reused bottle planters and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-060,Nursery,ReBottle Garden,DISCOVER - ReBottle Garden,"Help learners discover and talk about reused bottle planters and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-061,Nursery,MicroGrow Garden,SEE - MicroGrow Garden,"Help learners see and talk about seedlings and early growth through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-062,Nursery,MicroGrow Garden,SAY - MicroGrow Garden,"Help learners say and talk about seedlings and early growth through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-063,Nursery,MicroGrow Garden,FIND - MicroGrow Garden,"Help learners find and talk about seedlings and early growth through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-064,Nursery,MicroGrow Garden,COUNT - MicroGrow Garden,"Help learners count and talk about seedlings and early growth through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-065,Nursery,MicroGrow Garden,MATCH - MicroGrow Garden,"Help learners match and talk about seedlings and early growth through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-066,Nursery,MicroGrow Garden,SORT - MicroGrow Garden,"Help learners sort and talk about seedlings and early growth through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-067,Nursery,MicroGrow Garden,COMPARE - MicroGrow Garden,"Help learners compare and talk about seedlings and early growth through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-068,Nursery,MicroGrow Garden,DRAW - MicroGrow Garden,"Help learners draw and talk about seedlings and early growth through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-069,Nursery,MicroGrow Garden,CARE - MicroGrow Garden,"Help learners care and talk about seedlings and early growth through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-070,Nursery,MicroGrow Garden,DISCOVER - MicroGrow Garden,"Help learners discover and talk about seedlings and early growth through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-071,Nursery,Mini Table Garden,SEE - Mini Table Garden,"Help learners see and talk about small-container growing and care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-072,Nursery,Mini Table Garden,SAY - Mini Table Garden,"Help learners say and talk about small-container growing and care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-073,Nursery,Mini Table Garden,FIND - Mini Table Garden,"Help learners find and talk about small-container growing and care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-074,Nursery,Mini Table Garden,COUNT - Mini Table Garden,"Help learners count and talk about small-container growing and care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-075,Nursery,Mini Table Garden,MATCH - Mini Table Garden,"Help learners match and talk about small-container growing and care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-076,Nursery,Mini Table Garden,SORT - Mini Table Garden,"Help learners sort and talk about small-container growing and care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-077,Nursery,Mini Table Garden,COMPARE - Mini Table Garden,"Help learners compare and talk about small-container growing and care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-078,Nursery,Mini Table Garden,DRAW - Mini Table Garden,"Help learners draw and talk about small-container growing and care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-079,Nursery,Mini Table Garden,CARE - Mini Table Garden,"Help learners care and talk about small-container growing and care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-080,Nursery,Mini Table Garden,DISCOVER - Mini Table Garden,"Help learners discover and talk about small-container growing and care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-081,Nursery,Sack Garden,SEE - Sack Garden,"Help learners see and talk about sack-growing positions and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-082,Nursery,Sack Garden,SAY - Sack Garden,"Help learners say and talk about sack-growing positions and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-083,Nursery,Sack Garden,FIND - Sack Garden,"Help learners find and talk about sack-growing positions and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-084,Nursery,Sack Garden,COUNT - Sack Garden,"Help learners count and talk about sack-growing positions and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-085,Nursery,Sack Garden,MATCH - Sack Garden,"Help learners match and talk about sack-growing positions and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-086,Nursery,Sack Garden,SORT - Sack Garden,"Help learners sort and talk about sack-growing positions and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-087,Nursery,Sack Garden,COMPARE - Sack Garden,"Help learners compare and talk about sack-growing positions and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-088,Nursery,Sack Garden,DRAW - Sack Garden,"Help learners draw and talk about sack-growing positions and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-089,Nursery,Sack Garden,CARE - Sack Garden,"Help learners care and talk about sack-growing positions and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-090,Nursery,Sack Garden,DISCOVER - Sack Garden,"Help learners discover and talk about sack-growing positions and plant care through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-091,Nursery,Discovery Garden,SEE - Discovery Garden,"Help learners see and talk about safe observation and curiosity through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-092,Nursery,Discovery Garden,SAY - Discovery Garden,"Help learners say and talk about safe observation and curiosity through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-093,Nursery,Discovery Garden,FIND - Discovery Garden,"Help learners find and talk about safe observation and curiosity through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-094,Nursery,Discovery Garden,COUNT - Discovery Garden,"Help learners count and talk about safe observation and curiosity through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-095,Nursery,Discovery Garden,MATCH - Discovery Garden,"Help learners match and talk about safe observation and curiosity through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-096,Nursery,Discovery Garden,SORT - Discovery Garden,"Help learners sort and talk about safe observation and curiosity through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-097,Nursery,Discovery Garden,COMPARE - Discovery Garden,"Help learners compare and talk about safe observation and curiosity through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-098,Nursery,Discovery Garden,DRAW - Discovery Garden,"Help learners draw and talk about safe observation and curiosity through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-099,Nursery,Discovery Garden,CARE - Discovery Garden,"Help learners care and talk about safe observation and curiosity through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-100,Nursery,Discovery Garden,DISCOVER - Discovery Garden,"Help learners discover and talk about safe observation and curiosity through a short, supervised garden experience.","Pointing, oral response, simple count, matching, drawing or safe participation."
PA-101,Primary 1-3,Alphabet Food Garden,OBSERVE - Alphabet Food Garden,"Enable pupils to observe food-crop names and garden vocabulary using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-102,Primary 1-3,Alphabet Food Garden,COUNT - Alphabet Food Garden,"Enable pupils to count food-crop names and garden vocabulary using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-103,Primary 1-3,Alphabet Food Garden,MEASURE - Alphabet Food Garden,"Enable pupils to measure food-crop names and garden vocabulary using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-104,Primary 1-3,Alphabet Food Garden,COMPARE - Alphabet Food Garden,"Enable pupils to compare food-crop names and garden vocabulary using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-105,Primary 1-3,Alphabet Food Garden,RECORD - Alphabet Food Garden,"Enable pupils to record food-crop names and garden vocabulary using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-106,Primary 1-3,Alphabet Food Garden,MAP - Alphabet Food Garden,"Enable pupils to map food-crop names and garden vocabulary using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-107,Primary 1-3,Alphabet Food Garden,GROW - Alphabet Food Garden,"Enable pupils to grow food-crop names and garden vocabulary using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-108,Primary 1-3,Alphabet Food Garden,CHECK - Alphabet Food Garden,"Enable pupils to check food-crop names and garden vocabulary using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-109,Primary 1-3,Alphabet Food Garden,EXPLAIN - Alphabet Food Garden,"Enable pupils to explain food-crop names and garden vocabulary using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-110,Primary 1-3,Alphabet Food Garden,IMPROVE - Alphabet Food Garden,"Enable pupils to improve food-crop names and garden vocabulary using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-111,Primary 1-3,Number Food Garden,OBSERVE - Number Food Garden,"Enable pupils to observe counts, plant height and simple totals using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-112,Primary 1-3,Number Food Garden,COUNT - Number Food Garden,"Enable pupils to count counts, plant height and simple totals using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-113,Primary 1-3,Number Food Garden,MEASURE - Number Food Garden,"Enable pupils to measure counts, plant height and simple totals using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-114,Primary 1-3,Number Food Garden,COMPARE - Number Food Garden,"Enable pupils to compare counts, plant height and simple totals using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-115,Primary 1-3,Number Food Garden,RECORD - Number Food Garden,"Enable pupils to record counts, plant height and simple totals using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-116,Primary 1-3,Number Food Garden,MAP - Number Food Garden,"Enable pupils to map counts, plant height and simple totals using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-117,Primary 1-3,Number Food Garden,GROW - Number Food Garden,"Enable pupils to grow counts, plant height and simple totals using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-118,Primary 1-3,Number Food Garden,CHECK - Number Food Garden,"Enable pupils to check counts, plant height and simple totals using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-119,Primary 1-3,Number Food Garden,EXPLAIN - Number Food Garden,"Enable pupils to explain counts, plant height and simple totals using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-120,Primary 1-3,Number Food Garden,IMPROVE - Number Food Garden,"Enable pupils to improve counts, plant height and simple totals using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-121,Primary 1-3,Geometry Garden,OBSERVE - Geometry Garden,"Enable pupils to observe shapes, sides, corners, length and garden layout using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-122,Primary 1-3,Geometry Garden,COUNT - Geometry Garden,"Enable pupils to count shapes, sides, corners, length and garden layout using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-123,Primary 1-3,Geometry Garden,MEASURE - Geometry Garden,"Enable pupils to measure shapes, sides, corners, length and garden layout using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-124,Primary 1-3,Geometry Garden,COMPARE - Geometry Garden,"Enable pupils to compare shapes, sides, corners, length and garden layout using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-125,Primary 1-3,Geometry Garden,RECORD - Geometry Garden,"Enable pupils to record shapes, sides, corners, length and garden layout using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-126,Primary 1-3,Geometry Garden,MAP - Geometry Garden,"Enable pupils to map shapes, sides, corners, length and garden layout using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-127,Primary 1-3,Geometry Garden,GROW - Geometry Garden,"Enable pupils to grow shapes, sides, corners, length and garden layout using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-128,Primary 1-3,Geometry Garden,CHECK - Geometry Garden,"Enable pupils to check shapes, sides, corners, length and garden layout using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-129,Primary 1-3,Geometry Garden,EXPLAIN - Geometry Garden,"Enable pupils to explain shapes, sides, corners, length and garden layout using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-130,Primary 1-3,Geometry Garden,IMPROVE - Geometry Garden,"Enable pupils to improve shapes, sides, corners, length and garden layout using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-131,Primary 1-3,Leaf Garden,OBSERVE - Leaf Garden,"Enable pupils to observe leaf color, shape, size and texture using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-132,Primary 1-3,Leaf Garden,COUNT - Leaf Garden,"Enable pupils to count leaf color, shape, size and texture using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-133,Primary 1-3,Leaf Garden,MEASURE - Leaf Garden,"Enable pupils to measure leaf color, shape, size and texture using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-134,Primary 1-3,Leaf Garden,COMPARE - Leaf Garden,"Enable pupils to compare leaf color, shape, size and texture using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-135,Primary 1-3,Leaf Garden,RECORD - Leaf Garden,"Enable pupils to record leaf color, shape, size and texture using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-136,Primary 1-3,Leaf Garden,MAP - Leaf Garden,"Enable pupils to map leaf color, shape, size and texture using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-137,Primary 1-3,Leaf Garden,GROW - Leaf Garden,"Enable pupils to grow leaf color, shape, size and texture using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-138,Primary 1-3,Leaf Garden,CHECK - Leaf Garden,"Enable pupils to check leaf color, shape, size and texture using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-139,Primary 1-3,Leaf Garden,EXPLAIN - Leaf Garden,"Enable pupils to explain leaf color, shape, size and texture using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-140,Primary 1-3,Leaf Garden,IMPROVE - Leaf Garden,"Enable pupils to improve leaf color, shape, size and texture using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-141,Primary 1-3,Pollinator Garden,OBSERVE - Pollinator Garden,"Enable pupils to observe flowers and pollinator observations using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-142,Primary 1-3,Pollinator Garden,COUNT - Pollinator Garden,"Enable pupils to count flowers and pollinator observations using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
PA-143,Primary 1-3,Pollinator Garden,MEASURE - Pollinator Garden,"Enable pupils to measure flowers and pollinator observations using simple observations, counts or measurements and record what they find.","Tally, labeled drawing, measurement table, simple graph or short evidence-based explanation."
