Garden_ID,Level,Garden_No,Garden_Name,Nominal_Footprint,Nominal_Area,Complexity,Indicative_Cost_Band,Expected_Infrastructure_Life,Water_Approach,Core_Components,Preliminary_BOM,DIY_Local_Option,Safety_Commissioning,Installation_Sequence
GD-11,Primary 1-3,1,Alphabet Food Garden,4 m x 6 m,24 m2,Low-Moderate,Low,2-4 seasons,Watering cans or simple hose/drip,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; durable learning markers; clearly separated planting pockets,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-12,Primary 1-3,2,Number Food Garden,4 m x 6 m,24 m2,Low-Moderate,Low,2-4 seasons,Watering cans or simple hose/drip,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; durable learning markers; clearly separated planting pockets,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-13,Primary 1-3,3,Geometry Garden,4 m x 6 m,24 m2,Low-Moderate,Low,2-4 seasons,Watering cans or simple hose/drip,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; durable learning markers; clearly separated planting pockets,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-14,Primary 1-3,4,Leaf Garden,4 m x 6 m,24 m2,Low-Moderate,Low,2-4 seasons,Watering cans or simple hose/drip,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-15,Primary 1-3,5,Pollinator Garden,4 m x 6 m,24 m2,Low-Moderate,Low,2-4 seasons,Watering cans or simple hose/drip,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; flowering plant zone; observation boundary; no-spray learning zone,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-16,Primary 1-3,6,Raised Food Garden,4 m x 6 m,24 m2,Low-Moderate,Low,2-4 seasons,Watering cans or simple hose/drip,"level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; 2-4 raised beds, approx. 1.0-1.2 m wide; bed edging 250-450 mm high",timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-17,Primary 1-3,7,ReBottle Wall Garden,4 m x 6 m,24 m2,Low-Moderate,Low,2-4 seasons,Watering cans or simple hose/drip,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; stable vertical support frame; secured planting containers; drainage capture/control; clean reused food-safe bottles; secure support/rail; drainage holes,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-18,Primary 1-3,8,Sack GrowBag Garden,4 m x 6 m,24 m2,Low-Moderate,Low,2-4 seasons,Watering cans or simple hose/drip,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; stable grow sacks/bags; spacing markers; drainage base,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-19,Primary 1-3,9,Ground Production Garden,4 m x 6 m,24 m2,Low-Moderate,Low,2-4 seasons,Watering cans or simple hose/drip,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; production rows/beds; harvest access; crop labels,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-20,Primary 1-3,10,Discovery Production Garden,4 m x 6 m,24 m2,Low-Moderate,Low,2-4 seasons,Watering cans or simple hose/drip,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-21,Primary 4-6,1,Raised Food Garden,5 m x 8 m,40 m2,Moderate,Moderate,3-5 years with maintenance,Gravity drip / controlled watering,"level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; 2-4 raised beds, approx. 1.0-1.2 m wide; bed edging 250-450 mm high",timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-22,Primary 4-6,2,Geometry Garden,5 m x 8 m,40 m2,Moderate,Moderate,3-5 years with maintenance,Gravity drip / controlled watering,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; durable learning markers; clearly separated planting pockets,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-23,Primary 4-6,3,Grid Experiment Garden,5 m x 8 m,40 m2,Moderate,Moderate,3-5 years with maintenance,Gravity drip / controlled watering,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; marked experimental plots; treatment labels; buffer strips; measurement points,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-24,Primary 4-6,4,Keyhole Garden,5 m x 8 m,40 m2,Moderate,Moderate,3-5 years with maintenance,Gravity drip / controlled watering,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; circular/near-circular raised bed; central compost basket; keyhole access path,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-25,Primary 4-6,5,Compost Garden,5 m x 8 m,40 m2,Moderate,Moderate,3-5 years with maintenance,Gravity drip / controlled watering,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; 2-3 compost bays/bins; carbon/nitrogen material station; temperature/moisture observation point,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-26,Primary 4-6,6,Gravity Drip Garden,5 m x 8 m,40 m2,Moderate,Moderate,3-5 years with maintenance,Gravity drip / controlled watering,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; header tank where appropriate; mainline/laterals; valves; drip emitters or measured outlets,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-27,Primary 4-6,7,Vertical Garden,5 m x 8 m,40 m2,Moderate,Moderate,3-5 years with maintenance,Gravity drip / controlled watering,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; stable vertical support frame; secured planting containers; drainage capture/control,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-28,Primary 4-6,8,Crop Rotation Garden,5 m x 8 m,40 m2,Moderate,Moderate,3-5 years with maintenance,Gravity drip / controlled watering,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-29,Primary 4-6,9,Water-Smart Garden,5 m x 8 m,40 m2,Moderate,Moderate,3-5 years with maintenance,Gravity drip / controlled watering,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; header tank where appropriate; mainline/laterals; valves; drip emitters or measured outlets; sensor mounting points; protected low-voltage enclosure; manual override; data-record station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-30,Primary 4-6,10,Intro Soilless Garden,5 m x 8 m,40 m2,Moderate,Moderate,3-5 years with maintenance,Gravity drip / controlled watering,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; food-grade reservoir; channels/containers; growing medium/net pots; return/drainage path,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-31,JSS 1-3,1,Production Garden,6 m x 10 m,60 m2,Moderate-Advanced,Moderate-High,3-7 years,Measured irrigation / tanks / optional sensors,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; production rows/beds; harvest access; crop labels,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-32,JSS 1-3,2,Raised Systems Garden,6 m x 10 m,60 m2,Moderate-Advanced,Moderate-High,3-7 years,Measured irrigation / tanks / optional sensors,"level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; 2-4 raised beds, approx. 1.0-1.2 m wide; bed edging 250-450 mm high; modular test stations; measurement bench; system map/signage",timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-33,JSS 1-3,3,Grid Experiment Garden,6 m x 10 m,60 m2,Moderate-Advanced,Moderate-High,3-7 years,Measured irrigation / tanks / optional sensors,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; marked experimental plots; treatment labels; buffer strips; measurement points,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-34,JSS 1-3,4,Crop Rotation Garden,6 m x 10 m,60 m2,Moderate-Advanced,Moderate-High,3-7 years,Measured irrigation / tanks / optional sensors,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-35,JSS 1-3,5,Intercropping Garden,6 m x 10 m,60 m2,Moderate-Advanced,Moderate-High,3-7 years,Measured irrigation / tanks / optional sensors,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
GD-36,JSS 1-3,6,Water-Smart Garden,6 m x 10 m,60 m2,Moderate-Advanced,Moderate-High,3-7 years,Measured irrigation / tanks / optional sensors,level-specific learning sign; defined learner pathway; planting/growing zone; water access; tool/material station; header tank where appropriate; mainline/laterals; valves; drip emitters or measured outlets; sensor mounting points; protected low-voltage enclosure; manual override; data-record station,timber/blocks/metal edging as appropriate; clean growing medium; compost; planting material; labels; watering/irrigation fittings; hand tools; mulch; fasteners; PPE as required,"Use locally available untreated durable timber, masonry blocks, food-safe reused containers, buckets/tanks and simple gravity irrigation where safe and maintainable.",Rounded/covered edges; stable structures; clear paths; no protruding fasteners; controlled tools; drainage; supervised water points; age-appropriate working heights.,Set out and level -> establish paths/boundaries -> build beds/supports -> install water/drainage -> add growing medium -> label learning zones -> test safety/function -> plant -> commission for teaching.
