Level,Week,Garden_or_Focus,Learning_Objective,Vocabulary,Resource_Links,Integrated_Extension,Assessment,Suggested_Flow
Nursery,11,Synthesis & Portfolio,"Synthesize evidence from the ten gardens, revisit weak competencies, complete unfinished missions, and prepare a portfolio of the learner's strongest evidence.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.","Student Journal; Food Smart Passport; selected Practical Cards, Garden Missions, Ingredient Lab, Farm-to-Food and Food Smart Challenge evidence from Weeks 1-10.","Learners choose evidence that shows growth in knowledge, practical competence, investigation/data skills and mission-based problem solving.","Teacher moderation: review journal, passport, assessment results and practical evidence; reteach or reassess competencies not yet secure.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
Nursery,12,GrowMeal Celebration & Demonstration,"Celebrate learning through a safe GrowMeal showcase in which learners communicate what they grew, observed, measured, investigated and solved.","5-8 concrete words linked to the week's garden; use picture/word cards, repetition, pointing and oral language.",Food Smart Passport; learner portfolio; garden displays; selected charts/models; certificates or school-approved recognition materials.,"Garden walk, learner demonstrations, evidence exhibition, Farm-to-Food/Ingredient Lab displays and age-appropriate challenge presentations.","Final teacher verification, learner reflection, level-completion record and next-level learning goals.",Welcome & vocabulary (5-10 min) -> teacher demonstration (5 min) -> supervised garden activity (15-20 min) -> draw/count/tell (10 min) -> care/cleanup (5 min).
Primary 1-3,1,Alphabet Food Garden,"Observe the Alphabet Food Garden, make a simple measurement or comparison, record evidence and explain one finding.",8-12 garden and measurement words; require learners to use selected terms in their journal.,Flashcards for Alphabet Food Garden; TD-101 to TD-110; PA-101 to PA-110; GM-101 to GM-110; AQ-101 to AQ-110.,"Select one IL-101–IL-110, FF-101–FF-110, or FSC-101–FSC-110 activity where it fits the week's garden evidence.","Use observation plus AQ-101–AQ-110; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 1-3,2,Number Food Garden,"Observe the Number Food Garden, make a simple measurement or comparison, record evidence and explain one finding.",8-12 garden and measurement words; require learners to use selected terms in their journal.,Flashcards for Number Food Garden; TD-111 to TD-120; PA-111 to PA-120; GM-111 to GM-120; AQ-111 to AQ-120.,"Select one IL-111–IL-120, FF-111–FF-120, or FSC-111–FSC-120 activity where it fits the week's garden evidence.","Use observation plus AQ-111–AQ-120; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 1-3,3,Geometry Garden,"Observe the Geometry Garden, make a simple measurement or comparison, record evidence and explain one finding.",8-12 garden and measurement words; require learners to use selected terms in their journal.,Flashcards for Geometry Garden; TD-121 to TD-130; PA-121 to PA-130; GM-121 to GM-130; AQ-121 to AQ-130.,"Select one IL-121–IL-130, FF-121–FF-130, or FSC-121–FSC-130 activity where it fits the week's garden evidence.","Use observation plus AQ-121–AQ-130; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 1-3,4,Leaf Garden,"Observe the Leaf Garden, make a simple measurement or comparison, record evidence and explain one finding.",8-12 garden and measurement words; require learners to use selected terms in their journal.,Flashcards for Leaf Garden; TD-131 to TD-140; PA-131 to PA-140; GM-131 to GM-140; AQ-131 to AQ-140.,"Select one IL-131–IL-140, FF-131–FF-140, or FSC-131–FSC-140 activity where it fits the week's garden evidence.","Use observation plus AQ-131–AQ-140; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 1-3,5,Pollinator Garden,"Observe the Pollinator Garden, make a simple measurement or comparison, record evidence and explain one finding.",8-12 garden and measurement words; require learners to use selected terms in their journal.,Flashcards for Pollinator Garden; TD-141 to TD-150; PA-141 to PA-150; GM-141 to GM-150; AQ-141 to AQ-150.,"Select one IL-141–IL-150, FF-141–FF-150, or FSC-141–FSC-150 activity where it fits the week's garden evidence.","Use observation plus AQ-141–AQ-150; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 1-3,6,Raised Food Garden,"Observe the Raised Food Garden, make a simple measurement or comparison, record evidence and explain one finding.",8-12 garden and measurement words; require learners to use selected terms in their journal.,Flashcards for Raised Food Garden; TD-151 to TD-160; PA-151 to PA-160; GM-151 to GM-160; AQ-151 to AQ-160.,"Select one IL-151–IL-160, FF-151–FF-160, or FSC-151–FSC-160 activity where it fits the week's garden evidence.","Use observation plus AQ-151–AQ-160; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 1-3,7,ReBottle Wall Garden,"Observe the ReBottle Wall Garden, make a simple measurement or comparison, record evidence and explain one finding.",8-12 garden and measurement words; require learners to use selected terms in their journal.,Flashcards for ReBottle Wall Garden; TD-161 to TD-170; PA-161 to PA-170; GM-161 to GM-170; AQ-161 to AQ-170.,"Select one IL-161–IL-170, FF-161–FF-170, or FSC-161–FSC-170 activity where it fits the week's garden evidence.","Use observation plus AQ-161–AQ-170; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 1-3,8,Sack GrowBag Garden,"Observe the Sack GrowBag Garden, make a simple measurement or comparison, record evidence and explain one finding.",8-12 garden and measurement words; require learners to use selected terms in their journal.,Flashcards for Sack GrowBag Garden; TD-171 to TD-180; PA-171 to PA-180; GM-171 to GM-180; AQ-171 to AQ-180.,"Select one IL-171–IL-180, FF-171–FF-180, or FSC-171–FSC-180 activity where it fits the week's garden evidence.","Use observation plus AQ-171–AQ-180; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 1-3,9,Ground Production Garden,"Observe the Ground Production Garden, make a simple measurement or comparison, record evidence and explain one finding.",8-12 garden and measurement words; require learners to use selected terms in their journal.,Flashcards for Ground Production Garden; TD-181 to TD-190; PA-181 to PA-190; GM-181 to GM-190; AQ-181 to AQ-190.,"Select one IL-181–IL-190, FF-181–FF-190, or FSC-181–FSC-190 activity where it fits the week's garden evidence.","Use observation plus AQ-181–AQ-190; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 1-3,10,Discovery Production Garden,"Observe the Discovery Production Garden, make a simple measurement or comparison, record evidence and explain one finding.",8-12 garden and measurement words; require learners to use selected terms in their journal.,Flashcards for Discovery Production Garden; TD-191 to TD-200; PA-191 to PA-200; GM-191 to GM-200; AQ-191 to AQ-200.,"Select one IL-191–IL-200, FF-191–FF-200, or FSC-191–FSC-200 activity where it fits the week's garden evidence.","Use observation plus AQ-191–AQ-200; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 1-3,11,Synthesis & Portfolio,"Synthesize evidence from the ten gardens, revisit weak competencies, complete unfinished missions, and prepare a portfolio of the learner's strongest evidence.",8-12 garden and measurement words; require learners to use selected terms in their journal.,"Student Journal; Food Smart Passport; selected Practical Cards, Garden Missions, Ingredient Lab, Farm-to-Food and Food Smart Challenge evidence from Weeks 1-10.","Learners choose evidence that shows growth in knowledge, practical competence, investigation/data skills and mission-based problem solving.","Teacher moderation: review journal, passport, assessment results and practical evidence; reteach or reassess competencies not yet secure.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 1-3,12,GrowMeal Celebration & Demonstration,"Celebrate learning through a safe GrowMeal showcase in which learners communicate what they grew, observed, measured, investigated and solved.",8-12 garden and measurement words; require learners to use selected terms in their journal.,Food Smart Passport; learner portfolio; garden displays; selected charts/models; certificates or school-approved recognition materials.,"Garden walk, learner demonstrations, evidence exhibition, Farm-to-Food/Ingredient Lab displays and age-appropriate challenge presentations.","Final teacher verification, learner reflection, level-completion record and next-level learning goals.",Question/vocabulary (10 min) -> demonstration (10 min) -> practical investigation (25 min) -> journal record (15 min) -> mission/reflection (10 min).
Primary 4-6,1,Raised Food Garden,"Frame and investigate a measurable question in the Raised Food Garden, analyze evidence and explain a limitation.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.",Flashcards for Raised Food Garden; TD-201 to TD-210; PA-201 to PA-210; GM-201 to GM-210; AQ-201 to AQ-210.,"Select one IL-201–IL-210, FF-201–FF-210, or FSC-201–FSC-210 activity where it fits the week's garden evidence.","Use observation plus AQ-201–AQ-210; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
Primary 4-6,2,Geometry Garden,"Frame and investigate a measurable question in the Geometry Garden, analyze evidence and explain a limitation.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.",Flashcards for Geometry Garden; TD-211 to TD-220; PA-211 to PA-220; GM-211 to GM-220; AQ-211 to AQ-220.,"Select one IL-211–IL-220, FF-211–FF-220, or FSC-211–FSC-220 activity where it fits the week's garden evidence.","Use observation plus AQ-211–AQ-220; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
Primary 4-6,3,Grid Experiment Garden,"Frame and investigate a measurable question in the Grid Experiment Garden, analyze evidence and explain a limitation.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.",Flashcards for Grid Experiment Garden; TD-221 to TD-230; PA-221 to PA-230; GM-221 to GM-230; AQ-221 to AQ-230.,"Select one IL-221–IL-230, FF-221–FF-230, or FSC-221–FSC-230 activity where it fits the week's garden evidence.","Use observation plus AQ-221–AQ-230; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
Primary 4-6,4,Keyhole Garden,"Frame and investigate a measurable question in the Keyhole Garden, analyze evidence and explain a limitation.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.",Flashcards for Keyhole Garden; TD-231 to TD-240; PA-231 to PA-240; GM-231 to GM-240; AQ-231 to AQ-240.,"Select one IL-231–IL-240, FF-231–FF-240, or FSC-231–FSC-240 activity where it fits the week's garden evidence.","Use observation plus AQ-231–AQ-240; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
Primary 4-6,5,Compost Garden,"Frame and investigate a measurable question in the Compost Garden, analyze evidence and explain a limitation.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.",Flashcards for Compost Garden; TD-241 to TD-250; PA-241 to PA-250; GM-241 to GM-250; AQ-241 to AQ-250.,"Select one IL-241–IL-250, FF-241–FF-250, or FSC-241–FSC-250 activity where it fits the week's garden evidence.","Use observation plus AQ-241–AQ-250; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
Primary 4-6,6,Gravity Drip Garden,"Frame and investigate a measurable question in the Gravity Drip Garden, analyze evidence and explain a limitation.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.",Flashcards for Gravity Drip Garden; TD-251 to TD-260; PA-251 to PA-260; GM-251 to GM-260; AQ-251 to AQ-260.,"Select one IL-251–IL-260, FF-251–FF-260, or FSC-251–FSC-260 activity where it fits the week's garden evidence.","Use observation plus AQ-251–AQ-260; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
Primary 4-6,7,Vertical Garden,"Frame and investigate a measurable question in the Vertical Garden, analyze evidence and explain a limitation.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.",Flashcards for Vertical Garden; TD-261 to TD-270; PA-261 to PA-270; GM-261 to GM-270; AQ-261 to AQ-270.,"Select one IL-261–IL-270, FF-261–FF-270, or FSC-261–FSC-270 activity where it fits the week's garden evidence.","Use observation plus AQ-261–AQ-270; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
Primary 4-6,8,Crop Rotation Garden,"Frame and investigate a measurable question in the Crop Rotation Garden, analyze evidence and explain a limitation.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.",Flashcards for Crop Rotation Garden; TD-271 to TD-280; PA-271 to PA-280; GM-271 to GM-280; AQ-271 to AQ-280.,"Select one IL-271–IL-280, FF-271–FF-280, or FSC-271–FSC-280 activity where it fits the week's garden evidence.","Use observation plus AQ-271–AQ-280; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
Primary 4-6,9,Water-Smart Garden,"Frame and investigate a measurable question in the Water-Smart Garden, analyze evidence and explain a limitation.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.",Flashcards for Water-Smart Garden; TD-281 to TD-290; PA-281 to PA-290; GM-281 to GM-290; AQ-281 to AQ-290.,"Select one IL-281–IL-290, FF-281–FF-290, or FSC-281–FSC-290 activity where it fits the week's garden evidence.","Use observation plus AQ-281–AQ-290; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
Primary 4-6,10,Intro Soilless Garden,"Frame and investigate a measurable question in the Intro Soilless Garden, analyze evidence and explain a limitation.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.",Flashcards for Intro Soilless Garden; TD-291 to TD-300; PA-291 to PA-300; GM-291 to GM-300; AQ-291 to AQ-300.,"Select one IL-291–IL-300, FF-291–FF-300, or FSC-291–FSC-300 activity where it fits the week's garden evidence.","Use observation plus AQ-291–AQ-300; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
Primary 4-6,11,Synthesis & Portfolio,"Synthesize evidence from the ten gardens, revisit weak competencies, complete unfinished missions, and prepare a portfolio of the learner's strongest evidence.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.","Student Journal; Food Smart Passport; selected Practical Cards, Garden Missions, Ingredient Lab, Farm-to-Food and Food Smart Challenge evidence from Weeks 1-10.","Learners choose evidence that shows growth in knowledge, practical competence, investigation/data skills and mission-based problem solving.","Teacher moderation: review journal, passport, assessment results and practical evidence; reteach or reassess competencies not yet secure.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
Primary 4-6,12,GrowMeal Celebration & Demonstration,"Celebrate learning through a safe GrowMeal showcase in which learners communicate what they grew, observed, measured, investigated and solved.","10-15 scientific terms linked to variables, measurement, data, garden processes and evidence.",Food Smart Passport; learner portfolio; garden displays; selected charts/models; certificates or school-approved recognition materials.,"Garden walk, learner demonstrations, evidence exhibition, Farm-to-Food/Ingredient Lab displays and age-appropriate challenge presentations.","Final teacher verification, learner reflection, level-completion record and next-level learning goals.",Investigation question (10 min) -> method/safety demonstration (10 min) -> sampling/data collection (30 min) -> calculation/graph (15 min) -> conclusion/mission (10 min).
JSS 1-3,1,Production Garden,"Conduct a structured investigation in the Production Garden, quantify a response and convert evidence into a management recommendation.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.",Flashcards for Production Garden; TD-301 to TD-310; PA-301 to PA-310; GM-301 to GM-310; AQ-301 to AQ-310.,"Select one IL-301–IL-310, FF-301–FF-310, or FSC-301–FSC-310 activity where it fits the week's garden evidence.","Use observation plus AQ-301–AQ-310; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
JSS 1-3,2,Raised Systems Garden,"Conduct a structured investigation in the Raised Systems Garden, quantify a response and convert evidence into a management recommendation.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.",Flashcards for Raised Systems Garden; TD-311 to TD-320; PA-311 to PA-320; GM-311 to GM-320; AQ-311 to AQ-320.,"Select one IL-311–IL-320, FF-311–FF-320, or FSC-311–FSC-320 activity where it fits the week's garden evidence.","Use observation plus AQ-311–AQ-320; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
JSS 1-3,3,Grid Experiment Garden,"Conduct a structured investigation in the Grid Experiment Garden, quantify a response and convert evidence into a management recommendation.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.",Flashcards for Grid Experiment Garden; TD-321 to TD-330; PA-321 to PA-330; GM-321 to GM-330; AQ-321 to AQ-330.,"Select one IL-321–IL-330, FF-321–FF-330, or FSC-321–FSC-330 activity where it fits the week's garden evidence.","Use observation plus AQ-321–AQ-330; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
JSS 1-3,4,Crop Rotation Garden,"Conduct a structured investigation in the Crop Rotation Garden, quantify a response and convert evidence into a management recommendation.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.",Flashcards for Crop Rotation Garden; TD-331 to TD-340; PA-331 to PA-340; GM-331 to GM-340; AQ-331 to AQ-340.,"Select one IL-331–IL-340, FF-331–FF-340, or FSC-331–FSC-340 activity where it fits the week's garden evidence.","Use observation plus AQ-331–AQ-340; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
JSS 1-3,5,Intercropping Garden,"Conduct a structured investigation in the Intercropping Garden, quantify a response and convert evidence into a management recommendation.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.",Flashcards for Intercropping Garden; TD-341 to TD-350; PA-341 to PA-350; GM-341 to GM-350; AQ-341 to AQ-350.,"Select one IL-341–IL-350, FF-341–FF-350, or FSC-341–FSC-350 activity where it fits the week's garden evidence.","Use observation plus AQ-341–AQ-350; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
JSS 1-3,6,Water-Smart Garden,"Conduct a structured investigation in the Water-Smart Garden, quantify a response and convert evidence into a management recommendation.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.",Flashcards for Water-Smart Garden; TD-351 to TD-360; PA-351 to PA-360; GM-351 to GM-360; AQ-351 to AQ-360.,"Select one IL-351–IL-360, FF-351–FF-360, or FSC-351–FSC-360 activity where it fits the week's garden evidence.","Use observation plus AQ-351–AQ-360; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
JSS 1-3,7,Compost & Soil Garden,"Conduct a structured investigation in the Compost & Soil Garden, quantify a response and convert evidence into a management recommendation.","12-18 scientific and systems terms; students must use terminology precisely in method, results and recommendation.",Flashcards for Compost & Soil Garden; TD-361 to TD-370; PA-361 to PA-370; GM-361 to GM-370; AQ-361 to AQ-370.,"Select one IL-361–IL-370, FF-361–FF-370, or FSC-361–FSC-370 activity where it fits the week's garden evidence.","Use observation plus AQ-361–AQ-370; record practical, data/investigation and mission problem-solving evidence in the Food Smart Passport.",Question/hypothesis (10 min) -> protocol/QC (15 min) -> replicated data collection (35 min) -> analysis (20 min) -> management decision (10 min).
