ID,Level,Ingredient,Plant_Part,Theme,Objective,Materials,DIY,Method,Evidence,Questions,Safety
IL-011,Nursery,Ginger,Rhizome,Identity & Plant Part,"Help children recognize ginger, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the identity & plant part task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the ginger? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-012,Nursery,Ginger,Rhizome,External Structure,"Help children recognize ginger, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the external structure task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the ginger? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-013,Nursery,Ginger,Rhizome,Internal Structure,"Help children recognize ginger, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the internal structure task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the ginger? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-014,Nursery,Ginger,Rhizome,Colour & Texture,"Help children recognize ginger, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the colour & texture task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the ginger? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-015,Nursery,Ginger,Rhizome,Mass & Size,"Help children recognize ginger, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the mass & size task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the ginger? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-016,Nursery,Ginger,Rhizome,Water/Change Observation,"Help children recognize ginger, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the water/change observation task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the ginger? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-017,Nursery,Ginger,Rhizome,Sorting & Quality,"Help children recognize ginger, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the sorting & quality task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the ginger? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-018,Nursery,Ginger,Rhizome,Post-Harvest Change,"Help children recognize ginger, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the post-harvest change task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the ginger? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-019,Nursery,Ginger,Rhizome,Ingredient-to-Food Pathway,"Help children recognize ginger, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the ingredient-to-food pathway task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the ginger? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-020,Nursery,Ginger,Rhizome,Investigation Challenge,"Help children recognize ginger, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the investigation challenge task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the ginger? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-021,Nursery,Turmeric,Rhizome,Identity & Plant Part,"Help children recognize turmeric, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the identity & plant part task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the turmeric? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-022,Nursery,Turmeric,Rhizome,External Structure,"Help children recognize turmeric, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the external structure task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the turmeric? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-023,Nursery,Turmeric,Rhizome,Internal Structure,"Help children recognize turmeric, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the internal structure task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the turmeric? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-024,Nursery,Turmeric,Rhizome,Colour & Texture,"Help children recognize turmeric, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the colour & texture task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the turmeric? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-025,Nursery,Turmeric,Rhizome,Mass & Size,"Help children recognize turmeric, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the mass & size task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the turmeric? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-026,Nursery,Turmeric,Rhizome,Water/Change Observation,"Help children recognize turmeric, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the water/change observation task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the turmeric? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-027,Nursery,Turmeric,Rhizome,Sorting & Quality,"Help children recognize turmeric, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the sorting & quality task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the turmeric? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-028,Nursery,Turmeric,Rhizome,Post-Harvest Change,"Help children recognize turmeric, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the post-harvest change task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the turmeric? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-029,Nursery,Turmeric,Rhizome,Ingredient-to-Food Pathway,"Help children recognize turmeric, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the ingredient-to-food pathway task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the turmeric? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-030,Nursery,Turmeric,Rhizome,Investigation Challenge,"Help children recognize turmeric, identify its rhizome as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the investigation challenge task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the turmeric? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-031,Nursery,Pineapple,Fruit,Identity & Plant Part,"Help children recognize pineapple, identify its fruit as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the identity & plant part task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the pineapple? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-032,Nursery,Pineapple,Fruit,External Structure,"Help children recognize pineapple, identify its fruit as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the external structure task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the pineapple? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-033,Nursery,Pineapple,Fruit,Internal Structure,"Help children recognize pineapple, identify its fruit as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the internal structure task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the pineapple? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-034,Nursery,Pineapple,Fruit,Colour & Texture,"Help children recognize pineapple, identify its fruit as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the colour & texture task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the pineapple? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-035,Nursery,Pineapple,Fruit,Mass & Size,"Help children recognize pineapple, identify its fruit as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the mass & size task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the pineapple? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-036,Nursery,Pineapple,Fruit,Water/Change Observation,"Help children recognize pineapple, identify its fruit as the food-use plant part, and describe one visible feature.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Teacher shows a clean intact sample or picture. Children look, name, match, sort or draw according to the water/change observation task. Use only teacher-prepared cut samples for visual observation.","Oral naming, pointing/matching, simple sorting, counting or drawing.","What do you notice about the pineapple? Which plant part are we looking at? What colour, shape or texture can you see?","No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
