garden_id,level,garden_name,source_filename,app_path
J31,JSS 1-3,Production Garden,"ChatGPT Image Aug 28, 2026, 08_10_56 PM.png",/gardens/J31.webp
J32,JSS 1-3,Raised Systems Garden,"ChatGPT Image Aug 28, 2026, 06_02_28 PM.png",/gardens/J32.webp
J33,JSS 1-3,Grid Experiment Garden,"ChatGPT Image Aug 28, 2026, 06_01_08 PM.png",/gardens/J33.webp
J34,JSS 1-3,Crop Rotation Garden,"ChatGPT Image Aug 28, 2026, 08_21_14 PM.png",/gardens/J34.webp
J35,JSS 1-3,Intercropping Garden,"ChatGPT Image Aug 28, 2026, 08_18_23 PM.png",/gardens/J35.webp
J36,JSS 1-3,Water-Smart Garden,"ChatGPT Image Aug 28, 2026, 07_28_48 PM.png",/gardens/J36.webp
J37,JSS 1-3,Compost & Soil Garden,"ChatGPT Image Aug 28, 2026, 05_59_42 PM.png",/gardens/J37.webp
J38,JSS 1-3,Soilless Learning Garden,"ChatGPT Image Aug 28, 2026, 07_31_55 PM.png",/gardens/J38.webp
J39,JSS 1-3,Sensor-Ready Garden,"ChatGPT Image Aug 28, 2026, 08_14_58 PM.png",/gardens/J39.webp
J40,JSS 1-3,Applied Systems Garden,"ChatGPT Image Aug 28, 2026, 07_34_39 PM.png",/gardens/J40.webp
S41,SSS 1-3,Advanced Production Garden,"ChatGPT Image Aug 28, 2026, 08_24_27 PM.png",/gardens/S41.webp
S42,SSS 1-3,Crop Trial Garden,"ChatGPT Image Aug 28, 2026, 08_27_09 PM.png",/gardens/S42.webp
S43,SSS 1-3,Controlled Experiment Garden,"ChatGPT Image Aug 28, 2026, 08_57_35 PM.png",/gardens/S43.webp
S44,SSS 1-3,Irrigation Engineering Garden,"ChatGPT Image Aug 28, 2026, 08_58_20 PM.png",/gardens/S44.webp
S45,SSS 1-3,Water Productivity Garden,"ChatGPT Image Aug 28, 2026, 08_29_55 PM.png",/gardens/S45.webp
S46,SSS 1-3,Advanced Soilless Garden,"ChatGPT Image Aug 28, 2026, 08_55_30 PM.png",/gardens/S46.webp
S47,SSS 1-3,Sensor & Monitoring Garden,"ChatGPT Image Aug 28, 2026, 08_30_39 PM.png",/gardens/S47.webp
S48,SSS 1-3,Smart Irrigation Demonstrator,"ChatGPT Image Aug 28, 2026, 09_03_14 PM.png",/gardens/S48.webp
S49,SSS 1-3,Research & Design Garden,"ChatGPT Image Aug 28, 2026, 08_54_39 PM.png",/gardens/S49.webp
S50,SSS 1-3,Integrated Food Systems Laboratory,"ChatGPT Image Aug 28, 2026, 08_26_40 PM.png",/gardens/S50.webp
