id,level,garden,mission_no,title,mission,materials,evidence,success,safety,agrishine
GM-013,Nursery,Number Garden,3,COUNT AND TELL,"Count something about numbers and quantities. Work with your teacher or helper, then show what you noticed.","plants, leaves, counters",a count from 1 to 10,I completed the challenge carefully and can tell one thing I discovered.,Count carefully. Follow teacher instructions and school garden safety rules.,Help make the Number Garden neat and learning-ready by completing one teacher-approved care action.
GM-014,Nursery,Number Garden,4,SORT THE NUMBERS!,"Sort something about numbers and quantities. Work with your teacher or helper, then show what you noticed.","plants, leaves, counters",a count from 1 to 10,I completed the challenge carefully and can tell one thing I discovered.,Count carefully. Follow teacher instructions and school garden safety rules.,Help make the Number Garden neat and learning-ready by completing one teacher-approved care action.
GM-015,Nursery,Number Garden,5,GARDEN NOTICE MISSION,"Notice something about numbers and quantities. Work with your teacher or helper, then show what you noticed.","plants, leaves, counters",a count from 1 to 10,I completed the challenge carefully and can tell one thing I discovered.,Count carefully. Follow teacher instructions and school garden safety rules.,Help make the Number Garden neat and learning-ready by completing one teacher-approved care action.
GM-016,Nursery,Number Garden,6,COMPARE AND TELL,"Compare something about numbers and quantities. Work with your teacher or helper, then show what you noticed.","plants, leaves, counters",a count from 1 to 10,I completed the challenge carefully and can tell one thing I discovered.,Count carefully. Follow teacher instructions and school garden safety rules.,Help make the Number Garden neat and learning-ready by completing one teacher-approved care action.
GM-017,Nursery,Number Garden,7,CARE THE NUMBERS!,"Care something about numbers and quantities. Work with your teacher or helper, then show what you noticed.","plants, leaves, counters",a count from 1 to 10,I completed the challenge carefully and can tell one thing I discovered.,Count carefully. Follow teacher instructions and school garden safety rules.,Help make the Number Garden neat and learning-ready by completing one teacher-approved care action.
GM-018,Nursery,Number Garden,8,GARDEN SEARCH MISSION,"Search something about numbers and quantities. Work with your teacher or helper, then show what you noticed.","plants, leaves, counters",a count from 1 to 10,I completed the challenge carefully and can tell one thing I discovered.,Count carefully. Follow teacher instructions and school garden safety rules.,Help make the Number Garden neat and learning-ready by completing one teacher-approved care action.
GM-019,Nursery,Number Garden,9,SHOW AND TELL,"Show something about numbers and quantities. Work with your teacher or helper, then show what you noticed.","plants, leaves, counters",a count from 1 to 10,I completed the challenge carefully and can tell one thing I discovered.,Count carefully. Follow teacher instructions and school garden safety rules.,Help make the Number Garden neat and learning-ready by completing one teacher-approved care action.
GM-020,Nursery,Number Garden,10,DISCOVER THE NUMBERS!,"Discover something about numbers and quantities. Work with your teacher or helper, then show what you noticed.","plants, leaves, counters",a count from 1 to 10,I completed the challenge carefully and can tell one thing I discovered.,Count carefully. Follow teacher instructions and school garden safety rules.,Help make the Number Garden neat and learning-ready by completing one teacher-approved care action.
GM-021,Nursery,Geometry Garden,1,FIND THE SHAPES!,"Find something about shapes and garden spaces. Work with your teacher or helper, then show what you noticed.","beds, paths, containers","shape, side, corner or length",I completed the challenge carefully and can tell one thing I discovered.,Use shapes to describe. Follow teacher instructions and school garden safety rules.,Help make the Geometry Garden neat and learning-ready by completing one teacher-approved care action.
GM-022,Nursery,Geometry Garden,2,GARDEN MATCH MISSION,"Match something about shapes and garden spaces. Work with your teacher or helper, then show what you noticed.","beds, paths, containers","shape, side, corner or length",I completed the challenge carefully and can tell one thing I discovered.,Use shapes to describe. Follow teacher instructions and school garden safety rules.,Help make the Geometry Garden neat and learning-ready by completing one teacher-approved care action.
GM-023,Nursery,Geometry Garden,3,COUNT AND TELL,"Count something about shapes and garden spaces. Work with your teacher or helper, then show what you noticed.","beds, paths, containers","shape, side, corner or length",I completed the challenge carefully and can tell one thing I discovered.,Use shapes to describe. Follow teacher instructions and school garden safety rules.,Help make the Geometry Garden neat and learning-ready by completing one teacher-approved care action.
GM-024,Nursery,Geometry Garden,4,SORT THE SHAPES!,"Sort something about shapes and garden spaces. Work with your teacher or helper, then show what you noticed.","beds, paths, containers","shape, side, corner or length",I completed the challenge carefully and can tell one thing I discovered.,Use shapes to describe. Follow teacher instructions and school garden safety rules.,Help make the Geometry Garden neat and learning-ready by completing one teacher-approved care action.
GM-025,Nursery,Geometry Garden,5,GARDEN NOTICE MISSION,"Notice something about shapes and garden spaces. Work with your teacher or helper, then show what you noticed.","beds, paths, containers","shape, side, corner or length",I completed the challenge carefully and can tell one thing I discovered.,Use shapes to describe. Follow teacher instructions and school garden safety rules.,Help make the Geometry Garden neat and learning-ready by completing one teacher-approved care action.
GM-026,Nursery,Geometry Garden,6,COMPARE AND TELL,"Compare something about shapes and garden spaces. Work with your teacher or helper, then show what you noticed.","beds, paths, containers","shape, side, corner or length",I completed the challenge carefully and can tell one thing I discovered.,Use shapes to describe. Follow teacher instructions and school garden safety rules.,Help make the Geometry Garden neat and learning-ready by completing one teacher-approved care action.
GM-027,Nursery,Geometry Garden,7,CARE THE SHAPES!,"Care something about shapes and garden spaces. Work with your teacher or helper, then show what you noticed.","beds, paths, containers","shape, side, corner or length",I completed the challenge carefully and can tell one thing I discovered.,Use shapes to describe. Follow teacher instructions and school garden safety rules.,Help make the Geometry Garden neat and learning-ready by completing one teacher-approved care action.
GM-028,Nursery,Geometry Garden,8,GARDEN SEARCH MISSION,"Search something about shapes and garden spaces. Work with your teacher or helper, then show what you noticed.","beds, paths, containers","shape, side, corner or length",I completed the challenge carefully and can tell one thing I discovered.,Use shapes to describe. Follow teacher instructions and school garden safety rules.,Help make the Geometry Garden neat and learning-ready by completing one teacher-approved care action.
GM-029,Nursery,Geometry Garden,9,SHOW AND TELL,"Show something about shapes and garden spaces. Work with your teacher or helper, then show what you noticed.","beds, paths, containers","shape, side, corner or length",I completed the challenge carefully and can tell one thing I discovered.,Use shapes to describe. Follow teacher instructions and school garden safety rules.,Help make the Geometry Garden neat and learning-ready by completing one teacher-approved care action.
GM-030,Nursery,Geometry Garden,10,DISCOVER THE SHAPES!,"Discover something about shapes and garden spaces. Work with your teacher or helper, then show what you noticed.","beds, paths, containers","shape, side, corner or length",I completed the challenge carefully and can tell one thing I discovered.,Use shapes to describe. Follow teacher instructions and school garden safety rules.,Help make the Geometry Garden neat and learning-ready by completing one teacher-approved care action.
GM-031,Nursery,Leaf Garden,1,FIND THE LEAF!,"Find something about leaf form and change. Work with your teacher or helper, then show what you noticed.","safe leaves, plants","leaf size, shape, color or texture",I completed the challenge carefully and can tell one thing I discovered.,Look without damaging. Follow teacher instructions and school garden safety rules.,Help make the Leaf Garden neat and learning-ready by completing one teacher-approved care action.
GM-032,Nursery,Leaf Garden,2,GARDEN MATCH MISSION,"Match something about leaf form and change. Work with your teacher or helper, then show what you noticed.","safe leaves, plants","leaf size, shape, color or texture",I completed the challenge carefully and can tell one thing I discovered.,Look without damaging. Follow teacher instructions and school garden safety rules.,Help make the Leaf Garden neat and learning-ready by completing one teacher-approved care action.
GM-033,Nursery,Leaf Garden,3,COUNT AND TELL,"Count something about leaf form and change. Work with your teacher or helper, then show what you noticed.","safe leaves, plants","leaf size, shape, color or texture",I completed the challenge carefully and can tell one thing I discovered.,Look without damaging. Follow teacher instructions and school garden safety rules.,Help make the Leaf Garden neat and learning-ready by completing one teacher-approved care action.
GM-034,Nursery,Leaf Garden,4,SORT THE LEAF!,"Sort something about leaf form and change. Work with your teacher or helper, then show what you noticed.","safe leaves, plants","leaf size, shape, color or texture",I completed the challenge carefully and can tell one thing I discovered.,Look without damaging. Follow teacher instructions and school garden safety rules.,Help make the Leaf Garden neat and learning-ready by completing one teacher-approved care action.
GM-035,Nursery,Leaf Garden,5,GARDEN NOTICE MISSION,"Notice something about leaf form and change. Work with your teacher or helper, then show what you noticed.","safe leaves, plants","leaf size, shape, color or texture",I completed the challenge carefully and can tell one thing I discovered.,Look without damaging. Follow teacher instructions and school garden safety rules.,Help make the Leaf Garden neat and learning-ready by completing one teacher-approved care action.
GM-036,Nursery,Leaf Garden,6,COMPARE AND TELL,"Compare something about leaf form and change. Work with your teacher or helper, then show what you noticed.","safe leaves, plants","leaf size, shape, color or texture",I completed the challenge carefully and can tell one thing I discovered.,Look without damaging. Follow teacher instructions and school garden safety rules.,Help make the Leaf Garden neat and learning-ready by completing one teacher-approved care action.
GM-037,Nursery,Leaf Garden,7,CARE THE LEAF!,"Care something about leaf form and change. Work with your teacher or helper, then show what you noticed.","safe leaves, plants","leaf size, shape, color or texture",I completed the challenge carefully and can tell one thing I discovered.,Look without damaging. Follow teacher instructions and school garden safety rules.,Help make the Leaf Garden neat and learning-ready by completing one teacher-approved care action.
GM-038,Nursery,Leaf Garden,8,GARDEN SEARCH MISSION,"Search something about leaf form and change. Work with your teacher or helper, then show what you noticed.","safe leaves, plants","leaf size, shape, color or texture",I completed the challenge carefully and can tell one thing I discovered.,Look without damaging. Follow teacher instructions and school garden safety rules.,Help make the Leaf Garden neat and learning-ready by completing one teacher-approved care action.
GM-039,Nursery,Leaf Garden,9,SHOW AND TELL,"Show something about leaf form and change. Work with your teacher or helper, then show what you noticed.","safe leaves, plants","leaf size, shape, color or texture",I completed the challenge carefully and can tell one thing I discovered.,Look without damaging. Follow teacher instructions and school garden safety rules.,Help make the Leaf Garden neat and learning-ready by completing one teacher-approved care action.
GM-040,Nursery,Leaf Garden,10,DISCOVER THE LEAF!,"Discover something about leaf form and change. Work with your teacher or helper, then show what you noticed.","safe leaves, plants","leaf size, shape, color or texture",I completed the challenge carefully and can tell one thing I discovered.,Look without damaging. Follow teacher instructions and school garden safety rules.,Help make the Leaf Garden neat and learning-ready by completing one teacher-approved care action.
GM-041,Nursery,Butterfly Garden,1,FIND THE FLOWERS!,"Find something about flowers and garden visitors. Work with your teacher or helper, then show what you noticed.","flowers, observation spot",flower or visitor count,I completed the challenge carefully and can tell one thing I discovered.,Observe insects without catching. Follow teacher instructions and school garden safety rules.,Help make the Butterfly Garden neat and learning-ready by completing one teacher-approved care action.
GM-042,Nursery,Butterfly Garden,2,GARDEN MATCH MISSION,"Match something about flowers and garden visitors. Work with your teacher or helper, then show what you noticed.","flowers, observation spot",flower or visitor count,I completed the challenge carefully and can tell one thing I discovered.,Observe insects without catching. Follow teacher instructions and school garden safety rules.,Help make the Butterfly Garden neat and learning-ready by completing one teacher-approved care action.
GM-043,Nursery,Butterfly Garden,3,COUNT AND TELL,"Count something about flowers and garden visitors. Work with your teacher or helper, then show what you noticed.","flowers, observation spot",flower or visitor count,I completed the challenge carefully and can tell one thing I discovered.,Observe insects without catching. Follow teacher instructions and school garden safety rules.,Help make the Butterfly Garden neat and learning-ready by completing one teacher-approved care action.
GM-044,Nursery,Butterfly Garden,4,SORT THE FLOWERS!,"Sort something about flowers and garden visitors. Work with your teacher or helper, then show what you noticed.","flowers, observation spot",flower or visitor count,I completed the challenge carefully and can tell one thing I discovered.,Observe insects without catching. Follow teacher instructions and school garden safety rules.,Help make the Butterfly Garden neat and learning-ready by completing one teacher-approved care action.
GM-045,Nursery,Butterfly Garden,5,GARDEN NOTICE MISSION,"Notice something about flowers and garden visitors. Work with your teacher or helper, then show what you noticed.","flowers, observation spot",flower or visitor count,I completed the challenge carefully and can tell one thing I discovered.,Observe insects without catching. Follow teacher instructions and school garden safety rules.,Help make the Butterfly Garden neat and learning-ready by completing one teacher-approved care action.
GM-046,Nursery,Butterfly Garden,6,COMPARE AND TELL,"Compare something about flowers and garden visitors. Work with your teacher or helper, then show what you noticed.","flowers, observation spot",flower or visitor count,I completed the challenge carefully and can tell one thing I discovered.,Observe insects without catching. Follow teacher instructions and school garden safety rules.,Help make the Butterfly Garden neat and learning-ready by completing one teacher-approved care action.
GM-047,Nursery,Butterfly Garden,7,CARE THE FLOWERS!,"Care something about flowers and garden visitors. Work with your teacher or helper, then show what you noticed.","flowers, observation spot",flower or visitor count,I completed the challenge carefully and can tell one thing I discovered.,Observe insects without catching. Follow teacher instructions and school garden safety rules.,Help make the Butterfly Garden neat and learning-ready by completing one teacher-approved care action.
GM-048,Nursery,Butterfly Garden,8,GARDEN SEARCH MISSION,"Search something about flowers and garden visitors. Work with your teacher or helper, then show what you noticed.","flowers, observation spot",flower or visitor count,I completed the challenge carefully and can tell one thing I discovered.,Observe insects without catching. Follow teacher instructions and school garden safety rules.,Help make the Butterfly Garden neat and learning-ready by completing one teacher-approved care action.
GM-049,Nursery,Butterfly Garden,9,SHOW AND TELL,"Show something about flowers and garden visitors. Work with your teacher or helper, then show what you noticed.","flowers, observation spot",flower or visitor count,I completed the challenge carefully and can tell one thing I discovered.,Observe insects without catching. Follow teacher instructions and school garden safety rules.,Help make the Butterfly Garden neat and learning-ready by completing one teacher-approved care action.
GM-050,Nursery,Butterfly Garden,10,DISCOVER THE FLOWERS!,"Discover something about flowers and garden visitors. Work with your teacher or helper, then show what you noticed.","flowers, observation spot",flower or visitor count,I completed the challenge carefully and can tell one thing I discovered.,Observe insects without catching. Follow teacher instructions and school garden safety rules.,Help make the Butterfly Garden neat and learning-ready by completing one teacher-approved care action.
GM-051,Nursery,ReBottle Garden,1,FIND THE REUSED!,"Find something about reused bottle planters. Work with your teacher or helper, then show what you noticed.","mounted bottle planters, plants","planter position, water or plant condition",I completed the challenge carefully and can tell one thing I discovered.,Do not cut or detach bottles. Follow teacher instructions and school garden safety rules.,Help make the ReBottle Garden neat and learning-ready by completing one teacher-approved care action.
GM-052,Nursery,ReBottle Garden,2,GARDEN MATCH MISSION,"Match something about reused bottle planters. Work with your teacher or helper, then show what you noticed.","mounted bottle planters, plants","planter position, water or plant condition",I completed the challenge carefully and can tell one thing I discovered.,Do not cut or detach bottles. Follow teacher instructions and school garden safety rules.,Help make the ReBottle Garden neat and learning-ready by completing one teacher-approved care action.
GM-053,Nursery,ReBottle Garden,3,COUNT AND TELL,"Count something about reused bottle planters. Work with your teacher or helper, then show what you noticed.","mounted bottle planters, plants","planter position, water or plant condition",I completed the challenge carefully and can tell one thing I discovered.,Do not cut or detach bottles. Follow teacher instructions and school garden safety rules.,Help make the ReBottle Garden neat and learning-ready by completing one teacher-approved care action.
GM-054,Nursery,ReBottle Garden,4,SORT THE REUSED!,"Sort something about reused bottle planters. Work with your teacher or helper, then show what you noticed.","mounted bottle planters, plants","planter position, water or plant condition",I completed the challenge carefully and can tell one thing I discovered.,Do not cut or detach bottles. Follow teacher instructions and school garden safety rules.,Help make the ReBottle Garden neat and learning-ready by completing one teacher-approved care action.
GM-055,Nursery,ReBottle Garden,5,GARDEN NOTICE MISSION,"Notice something about reused bottle planters. Work with your teacher or helper, then show what you noticed.","mounted bottle planters, plants","planter position, water or plant condition",I completed the challenge carefully and can tell one thing I discovered.,Do not cut or detach bottles. Follow teacher instructions and school garden safety rules.,Help make the ReBottle Garden neat and learning-ready by completing one teacher-approved care action.
GM-056,Nursery,ReBottle Garden,6,COMPARE AND TELL,"Compare something about reused bottle planters. Work with your teacher or helper, then show what you noticed.","mounted bottle planters, plants","planter position, water or plant condition",I completed the challenge carefully and can tell one thing I discovered.,Do not cut or detach bottles. Follow teacher instructions and school garden safety rules.,Help make the ReBottle Garden neat and learning-ready by completing one teacher-approved care action.
GM-057,Nursery,ReBottle Garden,7,CARE THE REUSED!,"Care something about reused bottle planters. Work with your teacher or helper, then show what you noticed.","mounted bottle planters, plants","planter position, water or plant condition",I completed the challenge carefully and can tell one thing I discovered.,Do not cut or detach bottles. Follow teacher instructions and school garden safety rules.,Help make the ReBottle Garden neat and learning-ready by completing one teacher-approved care action.
GM-058,Nursery,ReBottle Garden,8,GARDEN SEARCH MISSION,"Search something about reused bottle planters. Work with your teacher or helper, then show what you noticed.","mounted bottle planters, plants","planter position, water or plant condition",I completed the challenge carefully and can tell one thing I discovered.,Do not cut or detach bottles. Follow teacher instructions and school garden safety rules.,Help make the ReBottle Garden neat and learning-ready by completing one teacher-approved care action.
GM-059,Nursery,ReBottle Garden,9,SHOW AND TELL,"Show something about reused bottle planters. Work with your teacher or helper, then show what you noticed.","mounted bottle planters, plants","planter position, water or plant condition",I completed the challenge carefully and can tell one thing I discovered.,Do not cut or detach bottles. Follow teacher instructions and school garden safety rules.,Help make the ReBottle Garden neat and learning-ready by completing one teacher-approved care action.
GM-060,Nursery,ReBottle Garden,10,DISCOVER THE REUSED!,"Discover something about reused bottle planters. Work with your teacher or helper, then show what you noticed.","mounted bottle planters, plants","planter position, water or plant condition",I completed the challenge carefully and can tell one thing I discovered.,Do not cut or detach bottles. Follow teacher instructions and school garden safety rules.,Help make the ReBottle Garden neat and learning-ready by completing one teacher-approved care action.
GM-061,Nursery,MicroGrow Garden,1,FIND THE TINY!,"Find something about tiny seedlings. Work with your teacher or helper, then show what you noticed.","seedlings, small containers",seedling count or growth,I completed the challenge carefully and can tell one thing I discovered.,Handle only with teacher approval. Follow teacher instructions and school garden safety rules.,Help make the MicroGrow Garden neat and learning-ready by completing one teacher-approved care action.
GM-062,Nursery,MicroGrow Garden,2,GARDEN MATCH MISSION,"Match something about tiny seedlings. Work with your teacher or helper, then show what you noticed.","seedlings, small containers",seedling count or growth,I completed the challenge carefully and can tell one thing I discovered.,Handle only with teacher approval. Follow teacher instructions and school garden safety rules.,Help make the MicroGrow Garden neat and learning-ready by completing one teacher-approved care action.
GM-063,Nursery,MicroGrow Garden,3,COUNT AND TELL,"Count something about tiny seedlings. Work with your teacher or helper, then show what you noticed.","seedlings, small containers",seedling count or growth,I completed the challenge carefully and can tell one thing I discovered.,Handle only with teacher approval. Follow teacher instructions and school garden safety rules.,Help make the MicroGrow Garden neat and learning-ready by completing one teacher-approved care action.
GM-064,Nursery,MicroGrow Garden,4,SORT THE TINY!,"Sort something about tiny seedlings. Work with your teacher or helper, then show what you noticed.","seedlings, small containers",seedling count or growth,I completed the challenge carefully and can tell one thing I discovered.,Handle only with teacher approval. Follow teacher instructions and school garden safety rules.,Help make the MicroGrow Garden neat and learning-ready by completing one teacher-approved care action.
GM-065,Nursery,MicroGrow Garden,5,GARDEN NOTICE MISSION,"Notice something about tiny seedlings. Work with your teacher or helper, then show what you noticed.","seedlings, small containers",seedling count or growth,I completed the challenge carefully and can tell one thing I discovered.,Handle only with teacher approval. Follow teacher instructions and school garden safety rules.,Help make the MicroGrow Garden neat and learning-ready by completing one teacher-approved care action.
GM-066,Nursery,MicroGrow Garden,6,COMPARE AND TELL,"Compare something about tiny seedlings. Work with your teacher or helper, then show what you noticed.","seedlings, small containers",seedling count or growth,I completed the challenge carefully and can tell one thing I discovered.,Handle only with teacher approval. Follow teacher instructions and school garden safety rules.,Help make the MicroGrow Garden neat and learning-ready by completing one teacher-approved care action.
GM-067,Nursery,MicroGrow Garden,7,CARE THE TINY!,"Care something about tiny seedlings. Work with your teacher or helper, then show what you noticed.","seedlings, small containers",seedling count or growth,I completed the challenge carefully and can tell one thing I discovered.,Handle only with teacher approval. Follow teacher instructions and school garden safety rules.,Help make the MicroGrow Garden neat and learning-ready by completing one teacher-approved care action.
GM-068,Nursery,MicroGrow Garden,8,GARDEN SEARCH MISSION,"Search something about tiny seedlings. Work with your teacher or helper, then show what you noticed.","seedlings, small containers",seedling count or growth,I completed the challenge carefully and can tell one thing I discovered.,Handle only with teacher approval. Follow teacher instructions and school garden safety rules.,Help make the MicroGrow Garden neat and learning-ready by completing one teacher-approved care action.
GM-069,Nursery,MicroGrow Garden,9,SHOW AND TELL,"Show something about tiny seedlings. Work with your teacher or helper, then show what you noticed.","seedlings, small containers",seedling count or growth,I completed the challenge carefully and can tell one thing I discovered.,Handle only with teacher approval. Follow teacher instructions and school garden safety rules.,Help make the MicroGrow Garden neat and learning-ready by completing one teacher-approved care action.
GM-070,Nursery,MicroGrow Garden,10,DISCOVER THE TINY!,"Discover something about tiny seedlings. Work with your teacher or helper, then show what you noticed.","seedlings, small containers",seedling count or growth,I completed the challenge carefully and can tell one thing I discovered.,Handle only with teacher approval. Follow teacher instructions and school garden safety rules.,Help make the MicroGrow Garden neat and learning-ready by completing one teacher-approved care action.
GM-071,Nursery,Mini Table Garden,1,FIND THE SMALL!,"Find something about small table-top growing. Work with your teacher or helper, then show what you noticed.","table planters, plants","container, plant or care observation",I completed the challenge carefully and can tell one thing I discovered.,Keep containers stable. Follow teacher instructions and school garden safety rules.,Help make the Mini Table Garden neat and learning-ready by completing one teacher-approved care action.
GM-072,Nursery,Mini Table Garden,2,GARDEN MATCH MISSION,"Match something about small table-top growing. Work with your teacher or helper, then show what you noticed.","table planters, plants","container, plant or care observation",I completed the challenge carefully and can tell one thing I discovered.,Keep containers stable. Follow teacher instructions and school garden safety rules.,Help make the Mini Table Garden neat and learning-ready by completing one teacher-approved care action.
GM-073,Nursery,Mini Table Garden,3,COUNT AND TELL,"Count something about small table-top growing. Work with your teacher or helper, then show what you noticed.","table planters, plants","container, plant or care observation",I completed the challenge carefully and can tell one thing I discovered.,Keep containers stable. Follow teacher instructions and school garden safety rules.,Help make the Mini Table Garden neat and learning-ready by completing one teacher-approved care action.
GM-074,Nursery,Mini Table Garden,4,SORT THE SMALL!,"Sort something about small table-top growing. Work with your teacher or helper, then show what you noticed.","table planters, plants","container, plant or care observation",I completed the challenge carefully and can tell one thing I discovered.,Keep containers stable. Follow teacher instructions and school garden safety rules.,Help make the Mini Table Garden neat and learning-ready by completing one teacher-approved care action.
GM-075,Nursery,Mini Table Garden,5,GARDEN NOTICE MISSION,"Notice something about small table-top growing. Work with your teacher or helper, then show what you noticed.","table planters, plants","container, plant or care observation",I completed the challenge carefully and can tell one thing I discovered.,Keep containers stable. Follow teacher instructions and school garden safety rules.,Help make the Mini Table Garden neat and learning-ready by completing one teacher-approved care action.
GM-076,Nursery,Mini Table Garden,6,COMPARE AND TELL,"Compare something about small table-top growing. Work with your teacher or helper, then show what you noticed.","table planters, plants","container, plant or care observation",I completed the challenge carefully and can tell one thing I discovered.,Keep containers stable. Follow teacher instructions and school garden safety rules.,Help make the Mini Table Garden neat and learning-ready by completing one teacher-approved care action.
GM-077,Nursery,Mini Table Garden,7,CARE THE SMALL!,"Care something about small table-top growing. Work with your teacher or helper, then show what you noticed.","table planters, plants","container, plant or care observation",I completed the challenge carefully and can tell one thing I discovered.,Keep containers stable. Follow teacher instructions and school garden safety rules.,Help make the Mini Table Garden neat and learning-ready by completing one teacher-approved care action.
GM-078,Nursery,Mini Table Garden,8,GARDEN SEARCH MISSION,"Search something about small table-top growing. Work with your teacher or helper, then show what you noticed.","table planters, plants","container, plant or care observation",I completed the challenge carefully and can tell one thing I discovered.,Keep containers stable. Follow teacher instructions and school garden safety rules.,Help make the Mini Table Garden neat and learning-ready by completing one teacher-approved care action.
GM-079,Nursery,Mini Table Garden,9,SHOW AND TELL,"Show something about small table-top growing. Work with your teacher or helper, then show what you noticed.","table planters, plants","container, plant or care observation",I completed the challenge carefully and can tell one thing I discovered.,Keep containers stable. Follow teacher instructions and school garden safety rules.,Help make the Mini Table Garden neat and learning-ready by completing one teacher-approved care action.
GM-080,Nursery,Mini Table Garden,10,DISCOVER THE SMALL!,"Discover something about small table-top growing. Work with your teacher or helper, then show what you noticed.","table planters, plants","container, plant or care observation",I completed the challenge carefully and can tell one thing I discovered.,Keep containers stable. Follow teacher instructions and school garden safety rules.,Help make the Mini Table Garden neat and learning-ready by completing one teacher-approved care action.
GM-081,Nursery,Sack Garden,1,FIND THE PLANTS!,"Find something about plants growing in sacks. Work with your teacher or helper, then show what you noticed.","grow sack, plants",top/side position or plant count,I completed the challenge carefully and can tell one thing I discovered.,Do not lift the sack. Follow teacher instructions and school garden safety rules.,Help make the Sack Garden neat and learning-ready by completing one teacher-approved care action.
GM-082,Nursery,Sack Garden,2,GARDEN MATCH MISSION,"Match something about plants growing in sacks. Work with your teacher or helper, then show what you noticed.","grow sack, plants",top/side position or plant count,I completed the challenge carefully and can tell one thing I discovered.,Do not lift the sack. Follow teacher instructions and school garden safety rules.,Help make the Sack Garden neat and learning-ready by completing one teacher-approved care action.
