id,level,garden,verb,setup,demo,ask,observe,check,close
TD-011,Nursery,Number Garden,See,Choose 1-3 safe examples of numbers and quantities. Keep the group close and materials simple.,"Model how to look carefully, then see one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-012,Nursery,Number Garden,Say,Choose 1-3 safe examples of numbers and quantities. Keep the group close and materials simple.,"Model how to look carefully, then say one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-013,Nursery,Number Garden,Find,Choose 1-3 safe examples of numbers and quantities. Keep the group close and materials simple.,"Model how to look carefully, then find one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-014,Nursery,Number Garden,Count,Choose 1-3 safe examples of numbers and quantities. Keep the group close and materials simple.,"Model how to look carefully, then count one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-015,Nursery,Number Garden,Match,Choose 1-3 safe examples of numbers and quantities. Keep the group close and materials simple.,"Model how to look carefully, then match one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-016,Nursery,Number Garden,Sort,Choose 1-3 safe examples of numbers and quantities. Keep the group close and materials simple.,"Model how to look carefully, then sort one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-017,Nursery,Number Garden,Compare,Choose 1-3 safe examples of numbers and quantities. Keep the group close and materials simple.,"Model how to look carefully, then compare one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-018,Nursery,Number Garden,Draw,Choose 1-3 safe examples of numbers and quantities. Keep the group close and materials simple.,"Model how to look carefully, then draw one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-019,Nursery,Number Garden,Care,Choose 1-3 safe examples of numbers and quantities. Keep the group close and materials simple.,"Model how to look carefully, then care one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-020,Nursery,Number Garden,Discover,Choose 1-3 safe examples of numbers and quantities. Keep the group close and materials simple.,"Model how to look carefully, then discover one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-021,Nursery,Geometry Garden,See,Choose 1-3 safe examples of shapes and garden spaces. Keep the group close and materials simple.,"Model how to look carefully, then see one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-022,Nursery,Geometry Garden,Say,Choose 1-3 safe examples of shapes and garden spaces. Keep the group close and materials simple.,"Model how to look carefully, then say one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-023,Nursery,Geometry Garden,Find,Choose 1-3 safe examples of shapes and garden spaces. Keep the group close and materials simple.,"Model how to look carefully, then find one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-024,Nursery,Geometry Garden,Count,Choose 1-3 safe examples of shapes and garden spaces. Keep the group close and materials simple.,"Model how to look carefully, then count one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-025,Nursery,Geometry Garden,Match,Choose 1-3 safe examples of shapes and garden spaces. Keep the group close and materials simple.,"Model how to look carefully, then match one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-026,Nursery,Geometry Garden,Sort,Choose 1-3 safe examples of shapes and garden spaces. Keep the group close and materials simple.,"Model how to look carefully, then sort one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-027,Nursery,Geometry Garden,Compare,Choose 1-3 safe examples of shapes and garden spaces. Keep the group close and materials simple.,"Model how to look carefully, then compare one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-028,Nursery,Geometry Garden,Draw,Choose 1-3 safe examples of shapes and garden spaces. Keep the group close and materials simple.,"Model how to look carefully, then draw one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-029,Nursery,Geometry Garden,Care,Choose 1-3 safe examples of shapes and garden spaces. Keep the group close and materials simple.,"Model how to look carefully, then care one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-030,Nursery,Geometry Garden,Discover,Choose 1-3 safe examples of shapes and garden spaces. Keep the group close and materials simple.,"Model how to look carefully, then discover one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-031,Nursery,Leaf Garden,See,Choose 1-3 safe examples of leaf features. Keep the group close and materials simple.,"Model how to look carefully, then see one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-032,Nursery,Leaf Garden,Say,Choose 1-3 safe examples of leaf features. Keep the group close and materials simple.,"Model how to look carefully, then say one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-033,Nursery,Leaf Garden,Find,Choose 1-3 safe examples of leaf features. Keep the group close and materials simple.,"Model how to look carefully, then find one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-034,Nursery,Leaf Garden,Count,Choose 1-3 safe examples of leaf features. Keep the group close and materials simple.,"Model how to look carefully, then count one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-035,Nursery,Leaf Garden,Match,Choose 1-3 safe examples of leaf features. Keep the group close and materials simple.,"Model how to look carefully, then match one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-036,Nursery,Leaf Garden,Sort,Choose 1-3 safe examples of leaf features. Keep the group close and materials simple.,"Model how to look carefully, then sort one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-037,Nursery,Leaf Garden,Compare,Choose 1-3 safe examples of leaf features. Keep the group close and materials simple.,"Model how to look carefully, then compare one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-038,Nursery,Leaf Garden,Draw,Choose 1-3 safe examples of leaf features. Keep the group close and materials simple.,"Model how to look carefully, then draw one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-039,Nursery,Leaf Garden,Care,Choose 1-3 safe examples of leaf features. Keep the group close and materials simple.,"Model how to look carefully, then care one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-040,Nursery,Leaf Garden,Discover,Choose 1-3 safe examples of leaf features. Keep the group close and materials simple.,"Model how to look carefully, then discover one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-041,Nursery,Butterfly Garden,See,Choose 1-3 safe examples of flowers and garden visitors. Keep the group close and materials simple.,"Model how to look carefully, then see one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-042,Nursery,Butterfly Garden,Say,Choose 1-3 safe examples of flowers and garden visitors. Keep the group close and materials simple.,"Model how to look carefully, then say one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-043,Nursery,Butterfly Garden,Find,Choose 1-3 safe examples of flowers and garden visitors. Keep the group close and materials simple.,"Model how to look carefully, then find one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-044,Nursery,Butterfly Garden,Count,Choose 1-3 safe examples of flowers and garden visitors. Keep the group close and materials simple.,"Model how to look carefully, then count one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-045,Nursery,Butterfly Garden,Match,Choose 1-3 safe examples of flowers and garden visitors. Keep the group close and materials simple.,"Model how to look carefully, then match one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-046,Nursery,Butterfly Garden,Sort,Choose 1-3 safe examples of flowers and garden visitors. Keep the group close and materials simple.,"Model how to look carefully, then sort one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-047,Nursery,Butterfly Garden,Compare,Choose 1-3 safe examples of flowers and garden visitors. Keep the group close and materials simple.,"Model how to look carefully, then compare one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-048,Nursery,Butterfly Garden,Draw,Choose 1-3 safe examples of flowers and garden visitors. Keep the group close and materials simple.,"Model how to look carefully, then draw one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-049,Nursery,Butterfly Garden,Care,Choose 1-3 safe examples of flowers and garden visitors. Keep the group close and materials simple.,"Model how to look carefully, then care one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-050,Nursery,Butterfly Garden,Discover,Choose 1-3 safe examples of flowers and garden visitors. Keep the group close and materials simple.,"Model how to look carefully, then discover one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-051,Nursery,ReBottle Garden,See,Choose 1-3 safe examples of reused bottle planters. Keep the group close and materials simple.,"Model how to look carefully, then see one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-052,Nursery,ReBottle Garden,Say,Choose 1-3 safe examples of reused bottle planters. Keep the group close and materials simple.,"Model how to look carefully, then say one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-053,Nursery,ReBottle Garden,Find,Choose 1-3 safe examples of reused bottle planters. Keep the group close and materials simple.,"Model how to look carefully, then find one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-054,Nursery,ReBottle Garden,Count,Choose 1-3 safe examples of reused bottle planters. Keep the group close and materials simple.,"Model how to look carefully, then count one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-055,Nursery,ReBottle Garden,Match,Choose 1-3 safe examples of reused bottle planters. Keep the group close and materials simple.,"Model how to look carefully, then match one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-056,Nursery,ReBottle Garden,Sort,Choose 1-3 safe examples of reused bottle planters. Keep the group close and materials simple.,"Model how to look carefully, then sort one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-057,Nursery,ReBottle Garden,Compare,Choose 1-3 safe examples of reused bottle planters. Keep the group close and materials simple.,"Model how to look carefully, then compare one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-058,Nursery,ReBottle Garden,Draw,Choose 1-3 safe examples of reused bottle planters. Keep the group close and materials simple.,"Model how to look carefully, then draw one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-059,Nursery,ReBottle Garden,Care,Choose 1-3 safe examples of reused bottle planters. Keep the group close and materials simple.,"Model how to look carefully, then care one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-060,Nursery,ReBottle Garden,Discover,Choose 1-3 safe examples of reused bottle planters. Keep the group close and materials simple.,"Model how to look carefully, then discover one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-061,Nursery,MicroGrow Garden,See,Choose 1-3 safe examples of seedlings. Keep the group close and materials simple.,"Model how to look carefully, then see one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-062,Nursery,MicroGrow Garden,Say,Choose 1-3 safe examples of seedlings. Keep the group close and materials simple.,"Model how to look carefully, then say one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-063,Nursery,MicroGrow Garden,Find,Choose 1-3 safe examples of seedlings. Keep the group close and materials simple.,"Model how to look carefully, then find one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-064,Nursery,MicroGrow Garden,Count,Choose 1-3 safe examples of seedlings. Keep the group close and materials simple.,"Model how to look carefully, then count one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-065,Nursery,MicroGrow Garden,Match,Choose 1-3 safe examples of seedlings. Keep the group close and materials simple.,"Model how to look carefully, then match one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-066,Nursery,MicroGrow Garden,Sort,Choose 1-3 safe examples of seedlings. Keep the group close and materials simple.,"Model how to look carefully, then sort one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-067,Nursery,MicroGrow Garden,Compare,Choose 1-3 safe examples of seedlings. Keep the group close and materials simple.,"Model how to look carefully, then compare one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-068,Nursery,MicroGrow Garden,Draw,Choose 1-3 safe examples of seedlings. Keep the group close and materials simple.,"Model how to look carefully, then draw one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-069,Nursery,MicroGrow Garden,Care,Choose 1-3 safe examples of seedlings. Keep the group close and materials simple.,"Model how to look carefully, then care one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-070,Nursery,MicroGrow Garden,Discover,Choose 1-3 safe examples of seedlings. Keep the group close and materials simple.,"Model how to look carefully, then discover one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
TD-071,Nursery,Mini Table Garden,See,Choose 1-3 safe examples of small planters. Keep the group close and materials simple.,"Model how to look carefully, then see one example. Use short sentences and point as you speak.",What do you see? Can you show me? How many? What is the same or different?,"Look for safe participation, correct pointing/matching/counting and one clear spoken or drawn observation.",Learner can show or tell one correct thing without damaging the garden.,"Repeat the key word, praise careful observation, complete one tiny care action and wash hands."
