id,garden,mission_no,title,mission,materials,evidence,success,safety,agrishine
GM-211,Geometry Garden,1,QUESTION THE SYSTEM,"Investigate shapes and garden spaces. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","beds, paths, containers","shape, side, corner or length","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use shapes to describe. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Geometry Garden based on your measurements.
GM-212,Geometry Garden,2,GEOMETRY INVESTIGATION,"Investigate shapes and garden spaces. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","beds, paths, containers","shape, side, corner or length","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use shapes to describe. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Geometry Garden based on your measurements.
GM-213,Geometry Garden,3,EVIDENCE MISSION: TEST,"Investigate shapes and garden spaces. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","beds, paths, containers","shape, side, corner or length","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use shapes to describe. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Geometry Garden based on your measurements.
GM-214,Geometry Garden,4,SAMPLE THE SYSTEM,"Investigate shapes and garden spaces. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","beds, paths, containers","shape, side, corner or length","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use shapes to describe. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Geometry Garden based on your measurements.
GM-215,Geometry Garden,5,GEOMETRY INVESTIGATION,"Investigate shapes and garden spaces. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","beds, paths, containers","shape, side, corner or length","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use shapes to describe. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Geometry Garden based on your measurements.
GM-216,Geometry Garden,6,EVIDENCE MISSION: GRAPH,"Investigate shapes and garden spaces. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","beds, paths, containers","shape, side, corner or length","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use shapes to describe. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Geometry Garden based on your measurements.
GM-217,Geometry Garden,7,DIAGNOSE THE SYSTEM,"Investigate shapes and garden spaces. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","beds, paths, containers","shape, side, corner or length","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use shapes to describe. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Geometry Garden based on your measurements.
GM-218,Geometry Garden,8,GEOMETRY INVESTIGATION,"Investigate shapes and garden spaces. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","beds, paths, containers","shape, side, corner or length","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use shapes to describe. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Geometry Garden based on your measurements.
GM-219,Geometry Garden,9,EVIDENCE MISSION: IMPROVE,"Investigate shapes and garden spaces. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","beds, paths, containers","shape, side, corner or length","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use shapes to describe. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Geometry Garden based on your measurements.
GM-220,Geometry Garden,10,RECOMMEND THE SYSTEM,"Investigate shapes and garden spaces. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","beds, paths, containers","shape, side, corner or length","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Use shapes to describe. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Geometry Garden based on your measurements.
GM-221,Grid Experiment Garden,1,QUESTION THE SYSTEM,"Investigate controlled garden comparisons. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","grid labels, ruler, data sheet",treatment/control response,"The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep treatments identifiable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Grid Experiment Garden based on your measurements.
GM-222,Grid Experiment Garden,2,GRID INVESTIGATION,"Investigate controlled garden comparisons. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","grid labels, ruler, data sheet",treatment/control response,"The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep treatments identifiable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Grid Experiment Garden based on your measurements.
GM-223,Grid Experiment Garden,3,EVIDENCE MISSION: TEST,"Investigate controlled garden comparisons. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","grid labels, ruler, data sheet",treatment/control response,"The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep treatments identifiable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Grid Experiment Garden based on your measurements.
GM-224,Grid Experiment Garden,4,SAMPLE THE SYSTEM,"Investigate controlled garden comparisons. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","grid labels, ruler, data sheet",treatment/control response,"The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep treatments identifiable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Grid Experiment Garden based on your measurements.
GM-225,Grid Experiment Garden,5,GRID INVESTIGATION,"Investigate controlled garden comparisons. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","grid labels, ruler, data sheet",treatment/control response,"The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep treatments identifiable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Grid Experiment Garden based on your measurements.
GM-226,Grid Experiment Garden,6,EVIDENCE MISSION: GRAPH,"Investigate controlled garden comparisons. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","grid labels, ruler, data sheet",treatment/control response,"The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep treatments identifiable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Grid Experiment Garden based on your measurements.
GM-227,Grid Experiment Garden,7,DIAGNOSE THE SYSTEM,"Investigate controlled garden comparisons. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","grid labels, ruler, data sheet",treatment/control response,"The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep treatments identifiable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Grid Experiment Garden based on your measurements.
GM-228,Grid Experiment Garden,8,GRID INVESTIGATION,"Investigate controlled garden comparisons. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","grid labels, ruler, data sheet",treatment/control response,"The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep treatments identifiable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Grid Experiment Garden based on your measurements.
GM-229,Grid Experiment Garden,9,EVIDENCE MISSION: IMPROVE,"Investigate controlled garden comparisons. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","grid labels, ruler, data sheet",treatment/control response,"The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep treatments identifiable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Grid Experiment Garden based on your measurements.
GM-230,Grid Experiment Garden,10,RECOMMEND THE SYSTEM,"Investigate controlled garden comparisons. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","grid labels, ruler, data sheet",treatment/control response,"The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep treatments identifiable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Grid Experiment Garden based on your measurements.
GM-231,Keyhole Garden,1,QUESTION THE SYSTEM,"Investigate keyhole-bed access and resource flow. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","tape, bed map, observation sheet","reach, moisture, area or compost evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid stepping into the bed. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Keyhole Garden based on your measurements.
GM-232,Keyhole Garden,2,KEYHOLE INVESTIGATION,"Investigate keyhole-bed access and resource flow. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","tape, bed map, observation sheet","reach, moisture, area or compost evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid stepping into the bed. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Keyhole Garden based on your measurements.
GM-233,Keyhole Garden,3,EVIDENCE MISSION: TEST,"Investigate keyhole-bed access and resource flow. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","tape, bed map, observation sheet","reach, moisture, area or compost evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid stepping into the bed. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Keyhole Garden based on your measurements.
GM-234,Keyhole Garden,4,SAMPLE THE SYSTEM,"Investigate keyhole-bed access and resource flow. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","tape, bed map, observation sheet","reach, moisture, area or compost evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid stepping into the bed. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Keyhole Garden based on your measurements.
GM-235,Keyhole Garden,5,KEYHOLE INVESTIGATION,"Investigate keyhole-bed access and resource flow. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","tape, bed map, observation sheet","reach, moisture, area or compost evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid stepping into the bed. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Keyhole Garden based on your measurements.
GM-236,Keyhole Garden,6,EVIDENCE MISSION: GRAPH,"Investigate keyhole-bed access and resource flow. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","tape, bed map, observation sheet","reach, moisture, area or compost evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid stepping into the bed. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Keyhole Garden based on your measurements.
GM-237,Keyhole Garden,7,DIAGNOSE THE SYSTEM,"Investigate keyhole-bed access and resource flow. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","tape, bed map, observation sheet","reach, moisture, area or compost evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid stepping into the bed. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Keyhole Garden based on your measurements.
GM-238,Keyhole Garden,8,KEYHOLE INVESTIGATION,"Investigate keyhole-bed access and resource flow. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","tape, bed map, observation sheet","reach, moisture, area or compost evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid stepping into the bed. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Keyhole Garden based on your measurements.
GM-239,Keyhole Garden,9,EVIDENCE MISSION: IMPROVE,"Investigate keyhole-bed access and resource flow. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","tape, bed map, observation sheet","reach, moisture, area or compost evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid stepping into the bed. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Keyhole Garden based on your measurements.
GM-240,Keyhole Garden,10,RECOMMEND THE SYSTEM,"Investigate keyhole-bed access and resource flow. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","tape, bed map, observation sheet","reach, moisture, area or compost evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Avoid stepping into the bed. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Keyhole Garden based on your measurements.
GM-241,Compost Garden,1,QUESTION THE SYSTEM,"Investigate decomposition and compost management. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","compost pile, thermometer if approved, data sheet","temperature, moisture, volume or maturity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Teacher supervises pile handling. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Compost Garden based on your measurements.
GM-242,Compost Garden,2,COMPOST INVESTIGATION,"Investigate decomposition and compost management. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","compost pile, thermometer if approved, data sheet","temperature, moisture, volume or maturity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Teacher supervises pile handling. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Compost Garden based on your measurements.
GM-243,Compost Garden,3,EVIDENCE MISSION: TEST,"Investigate decomposition and compost management. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","compost pile, thermometer if approved, data sheet","temperature, moisture, volume or maturity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Teacher supervises pile handling. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Compost Garden based on your measurements.
GM-244,Compost Garden,4,SAMPLE THE SYSTEM,"Investigate decomposition and compost management. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","compost pile, thermometer if approved, data sheet","temperature, moisture, volume or maturity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Teacher supervises pile handling. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Compost Garden based on your measurements.
GM-245,Compost Garden,5,COMPOST INVESTIGATION,"Investigate decomposition and compost management. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","compost pile, thermometer if approved, data sheet","temperature, moisture, volume or maturity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Teacher supervises pile handling. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Compost Garden based on your measurements.
GM-246,Compost Garden,6,EVIDENCE MISSION: GRAPH,"Investigate decomposition and compost management. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","compost pile, thermometer if approved, data sheet","temperature, moisture, volume or maturity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Teacher supervises pile handling. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Compost Garden based on your measurements.
GM-247,Compost Garden,7,DIAGNOSE THE SYSTEM,"Investigate decomposition and compost management. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","compost pile, thermometer if approved, data sheet","temperature, moisture, volume or maturity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Teacher supervises pile handling. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Compost Garden based on your measurements.
GM-248,Compost Garden,8,COMPOST INVESTIGATION,"Investigate decomposition and compost management. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","compost pile, thermometer if approved, data sheet","temperature, moisture, volume or maturity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Teacher supervises pile handling. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Compost Garden based on your measurements.
GM-249,Compost Garden,9,EVIDENCE MISSION: IMPROVE,"Investigate decomposition and compost management. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","compost pile, thermometer if approved, data sheet","temperature, moisture, volume or maturity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Teacher supervises pile handling. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Compost Garden based on your measurements.
GM-250,Compost Garden,10,RECOMMEND THE SYSTEM,"Investigate decomposition and compost management. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","compost pile, thermometer if approved, data sheet","temperature, moisture, volume or maturity evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Teacher supervises pile handling. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Compost Garden based on your measurements.
GM-251,Gravity Drip Garden,1,QUESTION THE SYSTEM,"Investigate gravity-fed irrigation. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","container, timer, emitters","flow rate, uniformity or water volume","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not disconnect lines without approval. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Gravity Drip Garden based on your measurements.
GM-252,Gravity Drip Garden,2,GRAVITY INVESTIGATION,"Investigate gravity-fed irrigation. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","container, timer, emitters","flow rate, uniformity or water volume","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not disconnect lines without approval. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Gravity Drip Garden based on your measurements.
GM-253,Gravity Drip Garden,3,EVIDENCE MISSION: TEST,"Investigate gravity-fed irrigation. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","container, timer, emitters","flow rate, uniformity or water volume","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not disconnect lines without approval. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Gravity Drip Garden based on your measurements.
GM-254,Gravity Drip Garden,4,SAMPLE THE SYSTEM,"Investigate gravity-fed irrigation. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","container, timer, emitters","flow rate, uniformity or water volume","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not disconnect lines without approval. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Gravity Drip Garden based on your measurements.
GM-255,Gravity Drip Garden,5,GRAVITY INVESTIGATION,"Investigate gravity-fed irrigation. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","container, timer, emitters","flow rate, uniformity or water volume","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not disconnect lines without approval. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Gravity Drip Garden based on your measurements.
GM-256,Gravity Drip Garden,6,EVIDENCE MISSION: GRAPH,"Investigate gravity-fed irrigation. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","container, timer, emitters","flow rate, uniformity or water volume","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not disconnect lines without approval. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Gravity Drip Garden based on your measurements.
GM-257,Gravity Drip Garden,7,DIAGNOSE THE SYSTEM,"Investigate gravity-fed irrigation. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","container, timer, emitters","flow rate, uniformity or water volume","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not disconnect lines without approval. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Gravity Drip Garden based on your measurements.
GM-258,Gravity Drip Garden,8,GRAVITY INVESTIGATION,"Investigate gravity-fed irrigation. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","container, timer, emitters","flow rate, uniformity or water volume","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not disconnect lines without approval. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Gravity Drip Garden based on your measurements.
GM-259,Gravity Drip Garden,9,EVIDENCE MISSION: IMPROVE,"Investigate gravity-fed irrigation. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","container, timer, emitters","flow rate, uniformity or water volume","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not disconnect lines without approval. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Gravity Drip Garden based on your measurements.
GM-260,Gravity Drip Garden,10,RECOMMEND THE SYSTEM,"Investigate gravity-fed irrigation. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","container, timer, emitters","flow rate, uniformity or water volume","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Do not disconnect lines without approval. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Gravity Drip Garden based on your measurements.
GM-261,Vertical Garden,1,QUESTION THE SYSTEM,"Investigate multi-level production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, level map, plants","growth, light, moisture or footprint evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep structure stable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Vertical Garden based on your measurements.
GM-262,Vertical Garden,2,VERTICAL INVESTIGATION,"Investigate multi-level production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, level map, plants","growth, light, moisture or footprint evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep structure stable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Vertical Garden based on your measurements.
GM-263,Vertical Garden,3,EVIDENCE MISSION: TEST,"Investigate multi-level production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, level map, plants","growth, light, moisture or footprint evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep structure stable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Vertical Garden based on your measurements.
GM-264,Vertical Garden,4,SAMPLE THE SYSTEM,"Investigate multi-level production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, level map, plants","growth, light, moisture or footprint evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep structure stable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Vertical Garden based on your measurements.
GM-265,Vertical Garden,5,VERTICAL INVESTIGATION,"Investigate multi-level production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, level map, plants","growth, light, moisture or footprint evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep structure stable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Vertical Garden based on your measurements.
GM-266,Vertical Garden,6,EVIDENCE MISSION: GRAPH,"Investigate multi-level production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, level map, plants","growth, light, moisture or footprint evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep structure stable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Vertical Garden based on your measurements.
GM-267,Vertical Garden,7,DIAGNOSE THE SYSTEM,"Investigate multi-level production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, level map, plants","growth, light, moisture or footprint evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep structure stable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Vertical Garden based on your measurements.
GM-268,Vertical Garden,8,VERTICAL INVESTIGATION,"Investigate multi-level production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, level map, plants","growth, light, moisture or footprint evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep structure stable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Vertical Garden based on your measurements.
GM-269,Vertical Garden,9,EVIDENCE MISSION: IMPROVE,"Investigate multi-level production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, level map, plants","growth, light, moisture or footprint evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep structure stable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Vertical Garden based on your measurements.
GM-270,Vertical Garden,10,RECOMMEND THE SYSTEM,"Investigate multi-level production. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","ruler, level map, plants","growth, light, moisture or footprint evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Keep structure stable. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Vertical Garden based on your measurements.
GM-271,Crop Rotation Garden,1,QUESTION THE SYSTEM,"Investigate rotation planning and soil-cover logic. Ask a testable question, collect comparable measurements, and make an evidence-based explanation.","bed history, crop-family records","family sequence, interval or cover evidence","The method is repeatable, units are shown, the conclusion matches the evidence, and one limitation is identified.",Document prior crops correctly. Follow teacher instructions and school garden safety rules.,Recommend one practical improvement to the Crop Rotation Garden based on your measurements.
