ID,Level,Domain,Context,Scenario,Task,Evidence,Success_Criteria,Extension,Safety
FSC-211,Primary 4-6,Know the Ingredient,Classroom Food Table,A school team must improve a classroom food table. The team asks you to solve a know the ingredient problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-212,Primary 4-6,Build a Food Journey,Harvest Basket,A school team must improve a harvest basket. The team asks you to solve a build a food journey problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-213,Primary 4-6,Make a Food Choice,Ingredient Display,A school team must improve a ingredient display. The team asks you to solve a make a food choice problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-214,Primary 4-6,Read the Label,School Lunch Scenario,A school team must improve a school lunch scenario. The team asks you to solve a read the label problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-215,Primary 4-6,Plan a Meal,Water Station,A school team must improve a water station. The team asks you to solve a plan a meal problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-216,Primary 4-6,Use Water Wisely,Storage Shelf,A school team must improve a storage shelf. The team asks you to solve a use water wisely problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-217,Primary 4-6,Reduce Food Waste,Market Basket,A school team must improve a market basket. The team asks you to solve a reduce food waste problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-218,Primary 4-6,Think Seasonally,Food Journey Map,A school team must improve a food journey map. The team asks you to solve a think seasonally problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-219,Primary 4-6,Store & Handle Responsibly,School Food-Waste Station,A school team must improve a school food-waste station. The team asks you to solve a store & handle responsibly problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-220,Primary 4-6,Solve a Food-System Challenge,School Garden,A school team must improve a school garden. The team asks you to solve a solve a food-system challenge problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-221,Primary 4-6,Know the Ingredient,Harvest Basket,A school team must improve a harvest basket. The team asks you to solve a know the ingredient problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-222,Primary 4-6,Build a Food Journey,Ingredient Display,A school team must improve a ingredient display. The team asks you to solve a build a food journey problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-223,Primary 4-6,Make a Food Choice,School Lunch Scenario,A school team must improve a school lunch scenario. The team asks you to solve a make a food choice problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-224,Primary 4-6,Read the Label,Water Station,A school team must improve a water station. The team asks you to solve a read the label problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-225,Primary 4-6,Plan a Meal,Storage Shelf,A school team must improve a storage shelf. The team asks you to solve a plan a meal problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-226,Primary 4-6,Use Water Wisely,Market Basket,A school team must improve a market basket. The team asks you to solve a use water wisely problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-227,Primary 4-6,Reduce Food Waste,Food Journey Map,A school team must improve a food journey map. The team asks you to solve a reduce food waste problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-228,Primary 4-6,Think Seasonally,School Food-Waste Station,A school team must improve a school food-waste station. The team asks you to solve a think seasonally problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-229,Primary 4-6,Store & Handle Responsibly,School Garden,A school team must improve a school garden. The team asks you to solve a store & handle responsibly problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-230,Primary 4-6,Solve a Food-System Challenge,Classroom Food Table,A school team must improve a classroom food table. The team asks you to solve a solve a food-system challenge problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-231,Primary 4-6,Know the Ingredient,Ingredient Display,A school team must improve a ingredient display. The team asks you to solve a know the ingredient problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-232,Primary 4-6,Build a Food Journey,School Lunch Scenario,A school team must improve a school lunch scenario. The team asks you to solve a build a food journey problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-233,Primary 4-6,Make a Food Choice,Water Station,A school team must improve a water station. The team asks you to solve a make a food choice problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-234,Primary 4-6,Read the Label,Storage Shelf,A school team must improve a storage shelf. The team asks you to solve a read the label problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-235,Primary 4-6,Plan a Meal,Market Basket,A school team must improve a market basket. The team asks you to solve a plan a meal problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-236,Primary 4-6,Use Water Wisely,Food Journey Map,A school team must improve a food journey map. The team asks you to solve a use water wisely problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-237,Primary 4-6,Reduce Food Waste,School Food-Waste Station,A school team must improve a school food-waste station. The team asks you to solve a reduce food waste problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-238,Primary 4-6,Think Seasonally,School Garden,A school team must improve a school garden. The team asks you to solve a think seasonally problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-239,Primary 4-6,Store & Handle Responsibly,Classroom Food Table,A school team must improve a classroom food table. The team asks you to solve a store & handle responsibly problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-240,Primary 4-6,Solve a Food-System Challenge,Harvest Basket,A school team must improve a harvest basket. The team asks you to solve a solve a food-system challenge problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-241,Primary 4-6,Know the Ingredient,School Lunch Scenario,A school team must improve a school lunch scenario. The team asks you to solve a know the ingredient problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-242,Primary 4-6,Build a Food Journey,Water Station,A school team must improve a water station. The team asks you to solve a build a food journey problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-243,Primary 4-6,Make a Food Choice,Storage Shelf,A school team must improve a storage shelf. The team asks you to solve a make a food choice problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-244,Primary 4-6,Read the Label,Market Basket,A school team must improve a market basket. The team asks you to solve a read the label problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-245,Primary 4-6,Plan a Meal,Food Journey Map,A school team must improve a food journey map. The team asks you to solve a plan a meal problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-246,Primary 4-6,Use Water Wisely,School Food-Waste Station,A school team must improve a school food-waste station. The team asks you to solve a use water wisely problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-247,Primary 4-6,Reduce Food Waste,School Garden,A school team must improve a school garden. The team asks you to solve a reduce food waste problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-248,Primary 4-6,Think Seasonally,Classroom Food Table,A school team must improve a classroom food table. The team asks you to solve a think seasonally problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-249,Primary 4-6,Store & Handle Responsibly,Harvest Basket,A school team must improve a harvest basket. The team asks you to solve a store & handle responsibly problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-250,Primary 4-6,Solve a Food-System Challenge,Ingredient Display,A school team must improve a ingredient display. The team asks you to solve a solve a food-system challenge problem using evidence rather than guesswork.,"Define the question, collect/read relevant evidence, make at least one calculation or structured comparison, identify a limitation and justify the preferred action.","Evidence table, calculation/graph where appropriate, decision and justification.",Fair comparison; correct units/reading; evidence supports conclusion; limitation is acknowledged.,Propose a second option and state what evidence would make you change your decision.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
