ID,Level,Ingredient,Plant_Part,Theme,Objective,Materials,DIY,Method,Evidence,Questions,Safety
IL-211,Primary 4-6,Ginger,Rhizome,Identity & Plant Part,"Investigate identity & plant part in ginger using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-212,Primary 4-6,Ginger,Rhizome,External Structure,"Investigate external structure in ginger using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-213,Primary 4-6,Ginger,Rhizome,Internal Structure,"Investigate internal structure in ginger using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-214,Primary 4-6,Ginger,Rhizome,Colour & Texture,"Investigate colour & texture in ginger using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-215,Primary 4-6,Ginger,Rhizome,Mass & Size,"Investigate mass & size in ginger using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-216,Primary 4-6,Ginger,Rhizome,Water/Change Observation,"Investigate water/change observation in ginger using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-217,Primary 4-6,Ginger,Rhizome,Sorting & Quality,"Investigate sorting & quality in ginger using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-218,Primary 4-6,Ginger,Rhizome,Post-Harvest Change,"Investigate post-harvest change in ginger using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-219,Primary 4-6,Ginger,Rhizome,Ingredient-to-Food Pathway,"Investigate ingredient-to-food pathway in ginger using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-220,Primary 4-6,Ginger,Rhizome,Investigation Challenge,"Investigate investigation challenge in ginger using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-221,Primary 4-6,Turmeric,Rhizome,Identity & Plant Part,"Investigate identity & plant part in turmeric using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-222,Primary 4-6,Turmeric,Rhizome,External Structure,"Investigate external structure in turmeric using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-223,Primary 4-6,Turmeric,Rhizome,Internal Structure,"Investigate internal structure in turmeric using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-224,Primary 4-6,Turmeric,Rhizome,Colour & Texture,"Investigate colour & texture in turmeric using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-225,Primary 4-6,Turmeric,Rhizome,Mass & Size,"Investigate mass & size in turmeric using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-226,Primary 4-6,Turmeric,Rhizome,Water/Change Observation,"Investigate water/change observation in turmeric using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-227,Primary 4-6,Turmeric,Rhizome,Sorting & Quality,"Investigate sorting & quality in turmeric using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-228,Primary 4-6,Turmeric,Rhizome,Post-Harvest Change,"Investigate post-harvest change in turmeric using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-229,Primary 4-6,Turmeric,Rhizome,Ingredient-to-Food Pathway,"Investigate ingredient-to-food pathway in turmeric using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-230,Primary 4-6,Turmeric,Rhizome,Investigation Challenge,"Investigate investigation challenge in turmeric using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-231,Primary 4-6,Pineapple,Fruit,Identity & Plant Part,"Investigate identity & plant part in pineapple using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-232,Primary 4-6,Pineapple,Fruit,External Structure,"Investigate external structure in pineapple using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-233,Primary 4-6,Pineapple,Fruit,Internal Structure,"Investigate internal structure in pineapple using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-234,Primary 4-6,Pineapple,Fruit,Colour & Texture,"Investigate colour & texture in pineapple using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-235,Primary 4-6,Pineapple,Fruit,Mass & Size,"Investigate mass & size in pineapple using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-236,Primary 4-6,Pineapple,Fruit,Water/Change Observation,"Investigate water/change observation in pineapple using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
IL-237,Primary 4-6,Pineapple,Fruit,Sorting & Quality,"Investigate sorting & quality in pineapple using a fair sampling method, quantitative evidence and an evidence-based explanation.","Clean ingredient samples or images, labels, observation sheet/journal, ruler and balance where appropriate, clean trays/containers, handwashing supplies.","Use locally available produce, paper labels, clean food-grade reused containers, handmade measuring grids and simple classroom balances where suitable.","Frame a question, select comparable samples, measure the relevant property, repeat observations, summarize the data and explain the pattern and one limitation.","Question, sample IDs, data table, calculation/graph, conclusion and limitation.",Is the comparison fair? What variable are you measuring? What pattern is supported by the data?,"No tasting is required. Use clean teacher-approved samples. Wash hands before and after handling. Teachers alone control knives, graters, heat, electrical equipment, chemicals and processing machinery. Do not conduct microbial culture or unsafe food-storage experiments."
