ID,Level,Term,Category,Definition,Example_or_Prompt,Garden_Link
NV-0074,Nursery N1-N3,Side,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage side at the Nursery N1-N3 level.",Teacher: 'Can you find or show side in our garden?',Leaf Garden
NV-0075,Nursery N1-N3,Top,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage top at the Nursery N1-N3 level.",Teacher: 'Can you find or show top in our garden?',Butterfly Garden
NV-0076,Nursery N1-N3,Bottom,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage bottom at the Nursery N1-N3 level.",Teacher: 'Can you find or show bottom in our garden?',ReBottle Garden
NV-0077,Nursery N1-N3,Inside,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage inside at the Nursery N1-N3 level.",Teacher: 'Can you find or show inside in our garden?',MicroGrow Garden
NV-0078,Nursery N1-N3,Outside,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage outside at the Nursery N1-N3 level.",Teacher: 'Can you find or show outside in our garden?',Mini Table Garden
NV-0079,Nursery N1-N3,Near,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage near at the Nursery N1-N3 level.",Teacher: 'Can you find or show near in our garden?',Sack Garden
NV-0080,Nursery N1-N3,Far,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage far at the Nursery N1-N3 level.",Teacher: 'Can you find or show far in our garden?',Discovery Garden
NV-0081,Nursery N1-N3,Butterfly,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage butterfly at the Nursery N1-N3 level.",Teacher: 'Can you find or show butterfly in our garden?',Alphabet Garden
NV-0082,Nursery N1-N3,Bee,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage bee at the Nursery N1-N3 level.",Teacher: 'Can you find or show bee in our garden?',Number Garden
NV-0083,Nursery N1-N3,Ant,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage ant at the Nursery N1-N3 level.",Teacher: 'Can you find or show ant in our garden?',Geometry Garden
NV-0084,Nursery N1-N3,Worm,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage worm at the Nursery N1-N3 level.",Teacher: 'Can you find or show worm in our garden?',Leaf Garden
NV-0085,Nursery N1-N3,Bird,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage bird at the Nursery N1-N3 level.",Teacher: 'Can you find or show bird in our garden?',Butterfly Garden
NV-0086,Nursery N1-N3,Visitor,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage visitor at the Nursery N1-N3 level.",Teacher: 'Can you find or show visitor in our garden?',ReBottle Garden
NV-0087,Nursery N1-N3,Insect,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage insect at the Nursery N1-N3 level.",Teacher: 'Can you find or show insect in our garden?',MicroGrow Garden
NV-0088,Nursery N1-N3,Label,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage label at the Nursery N1-N3 level.",Teacher: 'Can you find or show label in our garden?',Mini Table Garden
NV-0089,Nursery N1-N3,Letter,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage letter at the Nursery N1-N3 level.",Teacher: 'Can you find or show letter in our garden?',Sack Garden
NV-0090,Nursery N1-N3,Number,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage number at the Nursery N1-N3 level.",Teacher: 'Can you find or show number in our garden?',Discovery Garden
NV-0091,Nursery N1-N3,Name,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage name at the Nursery N1-N3 level.",Teacher: 'Can you find or show name in our garden?',Alphabet Garden
NV-0092,Nursery N1-N3,Color,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage color at the Nursery N1-N3 level.",Teacher: 'Can you find or show color in our garden?',Number Garden
NV-0093,Nursery N1-N3,Size,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage size at the Nursery N1-N3 level.",Teacher: 'Can you find or show size in our garden?',Geometry Garden
NV-0094,Nursery N1-N3,Texture,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage texture at the Nursery N1-N3 level.",Teacher: 'Can you find or show texture in our garden?',Leaf Garden
NV-0095,Nursery N1-N3,Clean,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage clean at the Nursery N1-N3 level.",Teacher: 'Can you find or show clean in our garden?',Butterfly Garden
NV-0096,Nursery N1-N3,Safe,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage safe at the Nursery N1-N3 level.",Teacher: 'Can you find or show safe in our garden?',ReBottle Garden
NV-0097,Nursery N1-N3,Wash,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage wash at the Nursery N1-N3 level.",Teacher: 'Can you find or show wash in our garden?',MicroGrow Garden
NV-0098,Nursery N1-N3,Share,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage share at the Nursery N1-N3 level.",Teacher: 'Can you find or show share in our garden?',Mini Table Garden
NV-0099,Nursery N1-N3,Observe,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage observe at the Nursery N1-N3 level.",Teacher: 'Can you find or show observe in our garden?',Sack Garden
NV-0100,Nursery N1-N3,Basic Condition,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic condition at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic condition in our garden?',Discovery Garden
NV-0101,Nursery N1-N3,Basic Response,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic response at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic response in our garden?',Alphabet Garden
NV-0102,Nursery N1-N3,Basic Measurement,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic measurement at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic measurement in our garden?',Number Garden
NV-0103,Nursery N1-N3,Basic Record,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic record at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic record in our garden?',Geometry Garden
NV-0104,Nursery N1-N3,Basic Indicator,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic indicator at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic indicator in our garden?',Leaf Garden
NV-0105,Nursery N1-N3,Basic Value,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic value at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic value in our garden?',Butterfly Garden
NV-0106,Nursery N1-N3,Basic Change,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic change at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic change in our garden?',ReBottle Garden
NV-0107,Nursery N1-N3,Basic Pattern,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic pattern at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic pattern in our garden?',MicroGrow Garden
NV-0108,Nursery N1-N3,Basic Comparison,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic comparison at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic comparison in our garden?',Mini Table Garden
NV-0109,Nursery N1-N3,Basic Distribution,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic distribution at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic distribution in our garden?',Sack Garden
NV-0110,Nursery N1-N3,Basic Performance,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic performance at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic performance in our garden?',Discovery Garden
NV-0111,Nursery N1-N3,Basic Quality,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic quality at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic quality in our garden?',Alphabet Garden
NV-0112,Nursery N1-N3,Basic Status,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic status at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic status in our garden?',Number Garden
NV-0113,Nursery N1-N3,Basic Management,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic management at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic management in our garden?',Geometry Garden
NV-0114,Nursery N1-N3,Basic Requirement,Engineering & Decision,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic requirement at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic requirement in our garden?',Leaf Garden
NV-0115,Nursery N1-N3,Basic Limit,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic limit at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic limit in our garden?',Butterfly Garden
NV-0116,Nursery N1-N3,Basic Target,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic target at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic target in our garden?',ReBottle Garden
NV-0117,Nursery N1-N3,Basic Threshold,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic threshold at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic threshold in our garden?',MicroGrow Garden
NV-0118,Nursery N1-N3,Basic Efficiency,Garden Foundations,A performance measure comparing useful output with the resource or input used for basic.,Teacher: 'Can you find or show basic efficiency in our garden?',Mini Table Garden
NV-0119,Nursery N1-N3,Basic Productivity,Garden Foundations,"A GrowMeal concept used to observe, describe, measure, analyze or manage basic productivity at the Nursery N1-N3 level.",Teacher: 'Can you find or show basic productivity in our garden?',Sack Garden
NV-0120,Nursery N1-N3,Garden Condition,Garden Foundations,A planned growing or learning space associated with garden condition.,Teacher: 'Can you find or show garden condition in our garden?',Discovery Garden
NV-0121,Nursery N1-N3,Garden Response,Garden Foundations,A planned growing or learning space associated with garden response.,Teacher: 'Can you find or show garden response in our garden?',Alphabet Garden
NV-0122,Nursery N1-N3,Garden Measurement,Garden Foundations,A planned growing or learning space associated with garden measurement.,Teacher: 'Can you find or show garden measurement in our garden?',Number Garden
NV-0123,Nursery N1-N3,Garden Record,Garden Foundations,A planned growing or learning space associated with garden record.,Teacher: 'Can you find or show garden record in our garden?',Geometry Garden
NV-0124,Nursery N1-N3,Garden Indicator,Garden Foundations,A planned growing or learning space associated with garden indicator.,Teacher: 'Can you find or show garden indicator in our garden?',Leaf Garden
NV-0125,Nursery N1-N3,Garden Value,Garden Foundations,A planned growing or learning space associated with garden value.,Teacher: 'Can you find or show garden value in our garden?',Butterfly Garden
NV-0126,Nursery N1-N3,Garden Change,Garden Foundations,A planned growing or learning space associated with garden change.,Teacher: 'Can you find or show garden change in our garden?',ReBottle Garden
NV-0127,Nursery N1-N3,Garden Pattern,Garden Foundations,A planned growing or learning space associated with garden pattern.,Teacher: 'Can you find or show garden pattern in our garden?',MicroGrow Garden
NV-0128,Nursery N1-N3,Garden Comparison,Garden Foundations,A planned growing or learning space associated with garden comparison.,Teacher: 'Can you find or show garden comparison in our garden?',Mini Table Garden
NV-0129,Nursery N1-N3,Garden Distribution,Garden Foundations,A planned growing or learning space associated with garden distribution.,Teacher: 'Can you find or show garden distribution in our garden?',Sack Garden
NV-0130,Nursery N1-N3,Garden Performance,Garden Foundations,A planned growing or learning space associated with garden performance.,Teacher: 'Can you find or show garden performance in our garden?',Discovery Garden
NV-0131,Nursery N1-N3,Garden Quality,Garden Foundations,A planned growing or learning space associated with garden quality.,Teacher: 'Can you find or show garden quality in our garden?',Alphabet Garden
NV-0132,Nursery N1-N3,Garden Status,Garden Foundations,A planned growing or learning space associated with garden status.,Teacher: 'Can you find or show garden status in our garden?',Number Garden
NV-0133,Nursery N1-N3,Garden Management,Garden Foundations,A planned growing or learning space associated with garden management.,Teacher: 'Can you find or show garden management in our garden?',Geometry Garden
NV-0134,Nursery N1-N3,Garden Requirement,Engineering & Decision,A planned growing or learning space associated with garden requirement.,Teacher: 'Can you find or show garden requirement in our garden?',Leaf Garden
NV-0135,Nursery N1-N3,Garden Limit,Garden Foundations,A planned growing or learning space associated with garden limit.,Teacher: 'Can you find or show garden limit in our garden?',Butterfly Garden
NV-0136,Nursery N1-N3,Garden Target,Garden Foundations,A planned growing or learning space associated with garden target.,Teacher: 'Can you find or show garden target in our garden?',ReBottle Garden
NV-0137,Nursery N1-N3,Garden Threshold,Garden Foundations,A planned growing or learning space associated with garden threshold.,Teacher: 'Can you find or show garden threshold in our garden?',MicroGrow Garden
NV-0138,Nursery N1-N3,Garden Efficiency,Garden Foundations,A performance measure comparing useful output with the resource or input used for garden.,Teacher: 'Can you find or show garden efficiency in our garden?',Mini Table Garden
NV-0139,Nursery N1-N3,Garden Productivity,Garden Foundations,A planned growing or learning space associated with garden productivity.,Teacher: 'Can you find or show garden productivity in our garden?',Sack Garden
NV-0140,Nursery N1-N3,Plant Condition,Plant & Production,"A GrowMeal concept used to observe, describe, measure, analyze or manage plant condition at the Nursery N1-N3 level.",Teacher: 'Can you find or show plant condition in our garden?',Discovery Garden
NV-0141,Nursery N1-N3,Plant Response,Plant & Production,"A GrowMeal concept used to observe, describe, measure, analyze or manage plant response at the Nursery N1-N3 level.",Teacher: 'Can you find or show plant response in our garden?',Alphabet Garden
NV-0142,Nursery N1-N3,Plant Measurement,Plant & Production,"A GrowMeal concept used to observe, describe, measure, analyze or manage plant measurement at the Nursery N1-N3 level.",Teacher: 'Can you find or show plant measurement in our garden?',Number Garden
NV-0143,Nursery N1-N3,Plant Record,Plant & Production,"A GrowMeal concept used to observe, describe, measure, analyze or manage plant record at the Nursery N1-N3 level.",Teacher: 'Can you find or show plant record in our garden?',Geometry Garden
