id,level,garden,domain,question,answer
AQ-056,Nursery,ReBottle Garden,Investigation/Data,"Count, sort, match or compare something in the ReBottle Garden.",Record/communicate a correct simple observation.
AQ-057,Nursery,ReBottle Garden,Investigation/Data,Draw what you observed and show one important detail.,Drawing includes relevant observable detail.
AQ-058,Nursery,ReBottle Garden,Mission,Find one small garden challenge or difference and tell the teacher what you notice.,"Identifies a real, safe observation."
AQ-059,Nursery,ReBottle Garden,Mission,Choose one helpful garden action with your teacher and complete it.,Completes appropriate action safely.
AQ-060,Nursery,ReBottle Garden,Mission,Tell one thing you discovered and one thing you want to look for next time.,Relevant discovery + next curiosity.
AQ-061,Nursery,MicroGrow Garden,Knowledge,Point to or name one thing in the MicroGrow Garden that helps you learn about tiny seedlings and early growth.,"Accept a correct, observable example."
AQ-062,Nursery,MicroGrow Garden,Knowledge,"Which action is safest in this garden: A) run, B) look carefully, C) pull plants?",B
AQ-063,Nursery,MicroGrow Garden,Knowledge,Teacher shows two examples. Which one matches today's garden idea?,Accept the teacher-designated correct example.
AQ-064,Nursery,MicroGrow Garden,Practical,Use the seedling tray to complete a simple task that shows counting and comparing seedlings.,0-3 performance rubric.
AQ-065,Nursery,MicroGrow Garden,Practical,Show how to care for or observe the seedling tray safely.,0-3 safety/care rubric.
AQ-066,Nursery,MicroGrow Garden,Investigation/Data,"Count, sort, match or compare something in the MicroGrow Garden.",Record/communicate a correct simple observation.
AQ-067,Nursery,MicroGrow Garden,Investigation/Data,Draw what you observed and show one important detail.,Drawing includes relevant observable detail.
AQ-068,Nursery,MicroGrow Garden,Mission,Find one small garden challenge or difference and tell the teacher what you notice.,"Identifies a real, safe observation."
AQ-069,Nursery,MicroGrow Garden,Mission,Choose one helpful garden action with your teacher and complete it.,Completes appropriate action safely.
AQ-070,Nursery,MicroGrow Garden,Mission,Tell one thing you discovered and one thing you want to look for next time.,Relevant discovery + next curiosity.
AQ-071,Nursery,Mini Table Garden,Knowledge,Point to or name one thing in the Mini Table Garden that helps you learn about small table-top planters.,"Accept a correct, observable example."
AQ-072,Nursery,Mini Table Garden,Knowledge,"Which action is safest in this garden: A) run, B) look carefully, C) pull plants?",B
AQ-073,Nursery,Mini Table Garden,Knowledge,Teacher shows two examples. Which one matches today's garden idea?,Accept the teacher-designated correct example.
AQ-074,Nursery,Mini Table Garden,Practical,Use the table planter to complete a simple task that shows observing plant and container features.,0-3 performance rubric.
AQ-075,Nursery,Mini Table Garden,Practical,Show how to care for or observe the table planter safely.,0-3 safety/care rubric.
AQ-076,Nursery,Mini Table Garden,Investigation/Data,"Count, sort, match or compare something in the Mini Table Garden.",Record/communicate a correct simple observation.
AQ-077,Nursery,Mini Table Garden,Investigation/Data,Draw what you observed and show one important detail.,Drawing includes relevant observable detail.
AQ-078,Nursery,Mini Table Garden,Mission,Find one small garden challenge or difference and tell the teacher what you notice.,"Identifies a real, safe observation."
AQ-079,Nursery,Mini Table Garden,Mission,Choose one helpful garden action with your teacher and complete it.,Completes appropriate action safely.
AQ-080,Nursery,Mini Table Garden,Mission,Tell one thing you discovered and one thing you want to look for next time.,Relevant discovery + next curiosity.
AQ-081,Nursery,Sack Garden,Knowledge,Point to or name one thing in the Sack Garden that helps you learn about plants growing at the top and sides of a sack.,"Accept a correct, observable example."
AQ-082,Nursery,Sack Garden,Knowledge,"Which action is safest in this garden: A) run, B) look carefully, C) pull plants?",B
AQ-083,Nursery,Sack Garden,Knowledge,Teacher shows two examples. Which one matches today's garden idea?,Accept the teacher-designated correct example.
AQ-084,Nursery,Sack Garden,Practical,Use the grow sack to complete a simple task that shows observing positions and plant growth.,0-3 performance rubric.
AQ-085,Nursery,Sack Garden,Practical,Show how to care for or observe the grow sack safely.,0-3 safety/care rubric.
AQ-086,Nursery,Sack Garden,Investigation/Data,"Count, sort, match or compare something in the Sack Garden.",Record/communicate a correct simple observation.
AQ-087,Nursery,Sack Garden,Investigation/Data,Draw what you observed and show one important detail.,Drawing includes relevant observable detail.
AQ-088,Nursery,Sack Garden,Mission,Find one small garden challenge or difference and tell the teacher what you notice.,"Identifies a real, safe observation."
AQ-089,Nursery,Sack Garden,Mission,Choose one helpful garden action with your teacher and complete it.,Completes appropriate action safely.
AQ-090,Nursery,Sack Garden,Mission,Tell one thing you discovered and one thing you want to look for next time.,Relevant discovery + next curiosity.
AQ-091,Nursery,Discovery Garden,Knowledge,Point to or name one thing in the Discovery Garden that helps you learn about safe garden exploration.,"Accept a correct, observable example."
AQ-092,Nursery,Discovery Garden,Knowledge,"Which action is safest in this garden: A) run, B) look carefully, C) pull plants?",B
AQ-093,Nursery,Discovery Garden,Knowledge,Teacher shows two examples. Which one matches today's garden idea?,Accept the teacher-designated correct example.
AQ-094,Nursery,Discovery Garden,Practical,Use the observation area to complete a simple task that shows asking and answering simple questions.,0-3 performance rubric.
AQ-095,Nursery,Discovery Garden,Practical,Show how to care for or observe the observation area safely.,0-3 safety/care rubric.
AQ-096,Nursery,Discovery Garden,Investigation/Data,"Count, sort, match or compare something in the Discovery Garden.",Record/communicate a correct simple observation.
AQ-097,Nursery,Discovery Garden,Investigation/Data,Draw what you observed and show one important detail.,Drawing includes relevant observable detail.
AQ-098,Nursery,Discovery Garden,Mission,Find one small garden challenge or difference and tell the teacher what you notice.,"Identifies a real, safe observation."
AQ-099,Nursery,Discovery Garden,Mission,Choose one helpful garden action with your teacher and complete it.,Completes appropriate action safely.
AQ-100,Nursery,Discovery Garden,Mission,Tell one thing you discovered and one thing you want to look for next time.,Relevant discovery + next curiosity.
AQ-101,Primary 1-3,Alphabet Food Garden,Knowledge,What is one important idea in crop names and garden vocabulary?,Accept accurate garden-specific concept.
AQ-102,Primary 1-3,Alphabet Food Garden,Knowledge,Which tool or method could help you study the crop label?,Accept appropriate simple tool/method.
AQ-103,Primary 1-3,Alphabet Food Garden,Knowledge,Why should measurements or counts be written down?,"So evidence can be checked, compared and remembered."
AQ-104,Primary 1-3,Alphabet Food Garden,Practical,Demonstrate how to observe or measure the crop label safely.,0-3 performance rubric.
AQ-105,Primary 1-3,Alphabet Food Garden,Practical,Make a clear record showing word record.,0-3 record-quality rubric.
AQ-106,Primary 1-3,Alphabet Food Garden,Investigation/Data,Collect two observations or measurements and compare them.,Correct comparison using collected evidence.
AQ-107,Primary 1-3,Alphabet Food Garden,Investigation/Data,"Make a tally, table, picture graph or labeled drawing from your evidence.",Accurate representation of evidence.
AQ-108,Primary 1-3,Alphabet Food Garden,Mission,A classmate gets a different result. Give one reasonable reason the results may differ.,"Accept sampling, position, timing, method or natural variation."
AQ-109,Primary 1-3,Alphabet Food Garden,Mission,Recommend one safe garden-care improvement using your evidence.,Recommendation must refer to evidence.
AQ-110,Primary 1-3,Alphabet Food Garden,Mission,Write one new question that could be tested in the Alphabet Food Garden.,Question must be observable/measurable and safe.
AQ-111,Primary 1-3,Number Food Garden,Knowledge,"What is one important idea in counts, heights and simple totals?",Accept accurate garden-specific concept.
AQ-112,Primary 1-3,Number Food Garden,Knowledge,Which tool or method could help you study the plant sample?,Accept appropriate simple tool/method.
AQ-113,Primary 1-3,Number Food Garden,Knowledge,Why should measurements or counts be written down?,"So evidence can be checked, compared and remembered."
AQ-114,Primary 1-3,Number Food Garden,Practical,Demonstrate how to observe or measure the plant sample safely.,0-3 performance rubric.
AQ-115,Primary 1-3,Number Food Garden,Practical,Make a clear record showing number record.,0-3 record-quality rubric.
AQ-116,Primary 1-3,Number Food Garden,Investigation/Data,Collect two observations or measurements and compare them.,Correct comparison using collected evidence.
AQ-117,Primary 1-3,Number Food Garden,Investigation/Data,"Make a tally, table, picture graph or labeled drawing from your evidence.",Accurate representation of evidence.
AQ-118,Primary 1-3,Number Food Garden,Mission,A classmate gets a different result. Give one reasonable reason the results may differ.,"Accept sampling, position, timing, method or natural variation."
AQ-119,Primary 1-3,Number Food Garden,Mission,Recommend one safe garden-care improvement using your evidence.,Recommendation must refer to evidence.
AQ-120,Primary 1-3,Number Food Garden,Mission,Write one new question that could be tested in the Number Food Garden.,Question must be observable/measurable and safe.
AQ-121,Primary 1-3,Geometry Garden,Knowledge,"What is one important idea in shapes, sides and garden spaces?",Accept accurate garden-specific concept.
AQ-122,Primary 1-3,Geometry Garden,Knowledge,Which tool or method could help you study the garden bed or path?,Accept appropriate simple tool/method.
AQ-123,Primary 1-3,Geometry Garden,Knowledge,Why should measurements or counts be written down?,"So evidence can be checked, compared and remembered."
AQ-124,Primary 1-3,Geometry Garden,Practical,Demonstrate how to observe or measure the garden bed or path safely.,0-3 performance rubric.
AQ-125,Primary 1-3,Geometry Garden,Practical,Make a clear record showing shape or length.,0-3 record-quality rubric.
AQ-126,Primary 1-3,Geometry Garden,Investigation/Data,Collect two observations or measurements and compare them.,Correct comparison using collected evidence.
AQ-127,Primary 1-3,Geometry Garden,Investigation/Data,"Make a tally, table, picture graph or labeled drawing from your evidence.",Accurate representation of evidence.
AQ-128,Primary 1-3,Geometry Garden,Mission,A classmate gets a different result. Give one reasonable reason the results may differ.,"Accept sampling, position, timing, method or natural variation."
AQ-129,Primary 1-3,Geometry Garden,Mission,Recommend one safe garden-care improvement using your evidence.,Recommendation must refer to evidence.
AQ-130,Primary 1-3,Geometry Garden,Mission,Write one new question that could be tested in the Geometry Garden.,Question must be observable/measurable and safe.
AQ-131,Primary 1-3,Leaf Garden,Knowledge,"What is one important idea in leaf shape, size, color and texture?",Accept accurate garden-specific concept.
AQ-132,Primary 1-3,Leaf Garden,Knowledge,Which tool or method could help you study the safe leaf?,Accept appropriate simple tool/method.
AQ-133,Primary 1-3,Leaf Garden,Knowledge,Why should measurements or counts be written down?,"So evidence can be checked, compared and remembered."
AQ-134,Primary 1-3,Leaf Garden,Practical,Demonstrate how to observe or measure the safe leaf safely.,0-3 performance rubric.
AQ-135,Primary 1-3,Leaf Garden,Practical,Make a clear record showing leaf observation.,0-3 record-quality rubric.
AQ-136,Primary 1-3,Leaf Garden,Investigation/Data,Collect two observations or measurements and compare them.,Correct comparison using collected evidence.
AQ-137,Primary 1-3,Leaf Garden,Investigation/Data,"Make a tally, table, picture graph or labeled drawing from your evidence.",Accurate representation of evidence.
AQ-138,Primary 1-3,Leaf Garden,Mission,A classmate gets a different result. Give one reasonable reason the results may differ.,"Accept sampling, position, timing, method or natural variation."
AQ-139,Primary 1-3,Leaf Garden,Mission,Recommend one safe garden-care improvement using your evidence.,Recommendation must refer to evidence.
AQ-140,Primary 1-3,Leaf Garden,Mission,Write one new question that could be tested in the Leaf Garden.,Question must be observable/measurable and safe.
AQ-141,Primary 1-3,Pollinator Garden,Knowledge,What is one important idea in flower abundance and pollinator activity?,Accept accurate garden-specific concept.
AQ-142,Primary 1-3,Pollinator Garden,Knowledge,Which tool or method could help you study the flower patch?,Accept appropriate simple tool/method.
AQ-143,Primary 1-3,Pollinator Garden,Knowledge,Why should measurements or counts be written down?,"So evidence can be checked, compared and remembered."
AQ-144,Primary 1-3,Pollinator Garden,Practical,Demonstrate how to observe or measure the flower patch safely.,0-3 performance rubric.
AQ-145,Primary 1-3,Pollinator Garden,Practical,Make a clear record showing visitor tally.,0-3 record-quality rubric.
AQ-146,Primary 1-3,Pollinator Garden,Investigation/Data,Collect two observations or measurements and compare them.,Correct comparison using collected evidence.
AQ-147,Primary 1-3,Pollinator Garden,Investigation/Data,"Make a tally, table, picture graph or labeled drawing from your evidence.",Accurate representation of evidence.
AQ-148,Primary 1-3,Pollinator Garden,Mission,A classmate gets a different result. Give one reasonable reason the results may differ.,"Accept sampling, position, timing, method or natural variation."
AQ-149,Primary 1-3,Pollinator Garden,Mission,Recommend one safe garden-care improvement using your evidence.,Recommendation must refer to evidence.
AQ-150,Primary 1-3,Pollinator Garden,Mission,Write one new question that could be tested in the Pollinator Garden.,Question must be observable/measurable and safe.
AQ-151,Primary 1-3,Raised Food Garden,Knowledge,What is one important idea in raised-bed crop growth and spacing?,Accept accurate garden-specific concept.
AQ-152,Primary 1-3,Raised Food Garden,Knowledge,Which tool or method could help you study the raised bed?,Accept appropriate simple tool/method.
AQ-153,Primary 1-3,Raised Food Garden,Knowledge,Why should measurements or counts be written down?,"So evidence can be checked, compared and remembered."
AQ-154,Primary 1-3,Raised Food Garden,Practical,Demonstrate how to observe or measure the raised bed safely.,0-3 performance rubric.
AQ-155,Primary 1-3,Raised Food Garden,Practical,Make a clear record showing measurement.,0-3 record-quality rubric.
AQ-156,Primary 1-3,Raised Food Garden,Investigation/Data,Collect two observations or measurements and compare them.,Correct comparison using collected evidence.
AQ-157,Primary 1-3,Raised Food Garden,Investigation/Data,"Make a tally, table, picture graph or labeled drawing from your evidence.",Accurate representation of evidence.
AQ-158,Primary 1-3,Raised Food Garden,Mission,A classmate gets a different result. Give one reasonable reason the results may differ.,"Accept sampling, position, timing, method or natural variation."
AQ-159,Primary 1-3,Raised Food Garden,Mission,Recommend one safe garden-care improvement using your evidence.,Recommendation must refer to evidence.
AQ-160,Primary 1-3,Raised Food Garden,Mission,Write one new question that could be tested in the Raised Food Garden.,Question must be observable/measurable and safe.
AQ-161,Primary 1-3,ReBottle Wall Garden,Knowledge,What is one important idea in vertical reused-container production?,Accept accurate garden-specific concept.
AQ-162,Primary 1-3,ReBottle Wall Garden,Knowledge,Which tool or method could help you study the wall planter?,Accept appropriate simple tool/method.
AQ-163,Primary 1-3,ReBottle Wall Garden,Knowledge,Why should measurements or counts be written down?,"So evidence can be checked, compared and remembered."
AQ-164,Primary 1-3,ReBottle Wall Garden,Practical,Demonstrate how to observe or measure the wall planter safely.,0-3 performance rubric.
AQ-165,Primary 1-3,ReBottle Wall Garden,Practical,Make a clear record showing level comparison.,0-3 record-quality rubric.
AQ-166,Primary 1-3,ReBottle Wall Garden,Investigation/Data,Collect two observations or measurements and compare them.,Correct comparison using collected evidence.
AQ-167,Primary 1-3,ReBottle Wall Garden,Investigation/Data,"Make a tally, table, picture graph or labeled drawing from your evidence.",Accurate representation of evidence.
AQ-168,Primary 1-3,ReBottle Wall Garden,Mission,A classmate gets a different result. Give one reasonable reason the results may differ.,"Accept sampling, position, timing, method or natural variation."
AQ-169,Primary 1-3,ReBottle Wall Garden,Mission,Recommend one safe garden-care improvement using your evidence.,Recommendation must refer to evidence.
AQ-170,Primary 1-3,ReBottle Wall Garden,Mission,Write one new question that could be tested in the ReBottle Wall Garden.,Question must be observable/measurable and safe.
AQ-171,Primary 1-3,Sack GrowBag Garden,Knowledge,What is one important idea in growbag production?,Accept accurate garden-specific concept.
AQ-172,Primary 1-3,Sack GrowBag Garden,Knowledge,Which tool or method could help you study the growbag?,Accept appropriate simple tool/method.
AQ-173,Primary 1-3,Sack GrowBag Garden,Knowledge,Why should measurements or counts be written down?,"So evidence can be checked, compared and remembered."
AQ-174,Primary 1-3,Sack GrowBag Garden,Practical,Demonstrate how to observe or measure the growbag safely.,0-3 performance rubric.
AQ-175,Primary 1-3,Sack GrowBag Garden,Practical,Make a clear record showing growbag record.,0-3 record-quality rubric.
AQ-176,Primary 1-3,Sack GrowBag Garden,Investigation/Data,Collect two observations or measurements and compare them.,Correct comparison using collected evidence.
AQ-177,Primary 1-3,Sack GrowBag Garden,Investigation/Data,"Make a tally, table, picture graph or labeled drawing from your evidence.",Accurate representation of evidence.
AQ-178,Primary 1-3,Sack GrowBag Garden,Mission,A classmate gets a different result. Give one reasonable reason the results may differ.,"Accept sampling, position, timing, method or natural variation."
AQ-179,Primary 1-3,Sack GrowBag Garden,Mission,Recommend one safe garden-care improvement using your evidence.,Recommendation must refer to evidence.
AQ-180,Primary 1-3,Sack GrowBag Garden,Mission,Write one new question that could be tested in the Sack GrowBag Garden.,Question must be observable/measurable and safe.
AQ-181,Primary 1-3,Ground Production Garden,Knowledge,"What is one important idea in row length, plant spacing and stand establishment?",Accept accurate garden-specific concept.
AQ-182,Primary 1-3,Ground Production Garden,Knowledge,Which tool or method could help you study the crop row?,Accept appropriate simple tool/method.
AQ-183,Primary 1-3,Ground Production Garden,Knowledge,Why should measurements or counts be written down?,"So evidence can be checked, compared and remembered."
AQ-184,Primary 1-3,Ground Production Garden,Practical,Demonstrate how to observe or measure the crop row safely.,0-3 performance rubric.
AQ-185,Primary 1-3,Ground Production Garden,Practical,Make a clear record showing row record.,0-3 record-quality rubric.
AQ-186,Primary 1-3,Ground Production Garden,Investigation/Data,Collect two observations or measurements and compare them.,Correct comparison using collected evidence.
AQ-187,Primary 1-3,Ground Production Garden,Investigation/Data,"Make a tally, table, picture graph or labeled drawing from your evidence.",Accurate representation of evidence.
AQ-188,Primary 1-3,Ground Production Garden,Mission,A classmate gets a different result. Give one reasonable reason the results may differ.,"Accept sampling, position, timing, method or natural variation."
AQ-189,Primary 1-3,Ground Production Garden,Mission,Recommend one safe garden-care improvement using your evidence.,Recommendation must refer to evidence.
AQ-190,Primary 1-3,Ground Production Garden,Mission,Write one new question that could be tested in the Ground Production Garden.,Question must be observable/measurable and safe.
AQ-191,Primary 1-3,Discovery Production Garden,Knowledge,What is one important idea in student-led garden questions?,Accept accurate garden-specific concept.
AQ-192,Primary 1-3,Discovery Production Garden,Knowledge,Which tool or method could help you study the production plot?,Accept appropriate simple tool/method.
AQ-193,Primary 1-3,Discovery Production Garden,Knowledge,Why should measurements or counts be written down?,"So evidence can be checked, compared and remembered."
AQ-194,Primary 1-3,Discovery Production Garden,Practical,Demonstrate how to observe or measure the production plot safely.,0-3 performance rubric.
AQ-195,Primary 1-3,Discovery Production Garden,Practical,Make a clear record showing investigation record.,0-3 record-quality rubric.
AQ-196,Primary 1-3,Discovery Production Garden,Investigation/Data,Collect two observations or measurements and compare them.,Correct comparison using collected evidence.
AQ-197,Primary 1-3,Discovery Production Garden,Investigation/Data,"Make a tally, table, picture graph or labeled drawing from your evidence.",Accurate representation of evidence.
AQ-198,Primary 1-3,Discovery Production Garden,Mission,A classmate gets a different result. Give one reasonable reason the results may differ.,"Accept sampling, position, timing, method or natural variation."
AQ-199,Primary 1-3,Discovery Production Garden,Mission,Recommend one safe garden-care improvement using your evidence.,Recommendation must refer to evidence.
AQ-200,Primary 1-3,Discovery Production Garden,Mission,Write one new question that could be tested in the Discovery Production Garden.,Question must be observable/measurable and safe.
AQ-201,Primary 4-6,Raised Food Garden,Knowledge,Define or explain one core idea related to raised-bed crop growth and spacing.,Accurate level-appropriate explanation.
AQ-202,Primary 4-6,Raised Food Garden,Knowledge,Why is a fair comparison important when studying the raised bed?,It reduces bias and supports a valid comparison.
AQ-203,Primary 4-6,Raised Food Garden,Knowledge,What should be kept the same when comparing two conditions?,Relevant controlled variables.
AQ-204,Primary 4-6,Raised Food Garden,Practical,Use an appropriate tool to collect a repeatable measurement.,0-3 technique/units rubric.
AQ-205,Primary 4-6,Raised Food Garden,Practical,Show one quality or safety check before recording the result.,0-3 QC/safety rubric.
AQ-206,Primary 4-6,Raised Food Garden,Investigation/Data,"Collect at least three values and calculate a useful summary such as mean, range, rate or percentage.",Correct calculation with units.
AQ-207,Primary 4-6,Raised Food Garden,Investigation/Data,Graph or tabulate the result and identify the main pattern.,Accurate graph/table + defensible pattern.
AQ-208,Primary 4-6,Raised Food Garden,Mission,Identify one limitation in your investigation and explain how it could affect the result.,Real limitation + plausible effect.
AQ-209,Primary 4-6,Raised Food Garden,Mission,Recommend one management or design change based on the evidence.,Evidence-linked recommendation.
AQ-210,Primary 4-6,Raised Food Garden,Mission,Design a follow-up test that would strengthen the conclusion.,"Testable, safe follow-up with clear variable/metric."
AQ-211,Primary 4-6,Geometry Garden,Knowledge,"Define or explain one core idea related to shapes, sides and garden spaces.",Accurate level-appropriate explanation.
AQ-212,Primary 4-6,Geometry Garden,Knowledge,Why is a fair comparison important when studying the garden bed or path?,It reduces bias and supports a valid comparison.
AQ-213,Primary 4-6,Geometry Garden,Knowledge,What should be kept the same when comparing two conditions?,Relevant controlled variables.
AQ-214,Primary 4-6,Geometry Garden,Practical,Use an appropriate tool to collect a repeatable shape or length.,0-3 technique/units rubric.
AQ-215,Primary 4-6,Geometry Garden,Practical,Show one quality or safety check before recording the result.,0-3 QC/safety rubric.
AQ-216,Primary 4-6,Geometry Garden,Investigation/Data,"Collect at least three values and calculate a useful summary such as mean, range, rate or percentage.",Correct calculation with units.
AQ-217,Primary 4-6,Geometry Garden,Investigation/Data,Graph or tabulate the result and identify the main pattern.,Accurate graph/table + defensible pattern.
AQ-218,Primary 4-6,Geometry Garden,Mission,Identify one limitation in your investigation and explain how it could affect the result.,Real limitation + plausible effect.
AQ-219,Primary 4-6,Geometry Garden,Mission,Recommend one management or design change based on the evidence.,Evidence-linked recommendation.
AQ-220,Primary 4-6,Geometry Garden,Mission,Design a follow-up test that would strengthen the conclusion.,"Testable, safe follow-up with clear variable/metric."
AQ-221,Primary 4-6,Grid Experiment Garden,Knowledge,Define or explain one core idea related to treatment-control comparisons and fair testing.,Accurate level-appropriate explanation.
AQ-222,Primary 4-6,Grid Experiment Garden,Knowledge,Why is a fair comparison important when studying the grid cell?,It reduces bias and supports a valid comparison.
