ID,Level,Domain,Context,Scenario,Task,Evidence,Success_Criteria,Extension,Safety
FSC-017,Nursery,Reduce Food Waste,Market Basket,Your class is exploring a market basket. The teacher shows safe pictures or clean examples. Complete a simple reduce food waste challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-018,Nursery,Think Seasonally,Food Journey Map,Your class is exploring a food journey map. The teacher shows safe pictures or clean examples. Complete a simple think seasonally challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-019,Nursery,Store & Handle Responsibly,School Food-Waste Station,Your class is exploring a school food-waste station. The teacher shows safe pictures or clean examples. Complete a simple store & handle responsibly challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-020,Nursery,Solve a Food-System Challenge,School Garden,Your class is exploring a school garden. The teacher shows safe pictures or clean examples. Complete a simple solve a food-system challenge challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-021,Nursery,Know the Ingredient,Harvest Basket,Your class is exploring a harvest basket. The teacher shows safe pictures or clean examples. Complete a simple know the ingredient challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-022,Nursery,Build a Food Journey,Ingredient Display,Your class is exploring a ingredient display. The teacher shows safe pictures or clean examples. Complete a simple build a food journey challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-023,Nursery,Make a Food Choice,School Lunch Scenario,Your class is exploring a school lunch scenario. The teacher shows safe pictures or clean examples. Complete a simple make a food choice challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-024,Nursery,Read the Label,Water Station,Your class is exploring a water station. The teacher shows safe pictures or clean examples. Complete a simple read the label challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-025,Nursery,Plan a Meal,Storage Shelf,Your class is exploring a storage shelf. The teacher shows safe pictures or clean examples. Complete a simple plan a meal challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-026,Nursery,Use Water Wisely,Market Basket,Your class is exploring a market basket. The teacher shows safe pictures or clean examples. Complete a simple use water wisely challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-027,Nursery,Reduce Food Waste,Food Journey Map,Your class is exploring a food journey map. The teacher shows safe pictures or clean examples. Complete a simple reduce food waste challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-028,Nursery,Think Seasonally,School Food-Waste Station,Your class is exploring a school food-waste station. The teacher shows safe pictures or clean examples. Complete a simple think seasonally challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-029,Nursery,Store & Handle Responsibly,School Garden,Your class is exploring a school garden. The teacher shows safe pictures or clean examples. Complete a simple store & handle responsibly challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-030,Nursery,Solve a Food-System Challenge,Classroom Food Table,Your class is exploring a classroom food table. The teacher shows safe pictures or clean examples. Complete a simple solve a food-system challenge challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-031,Nursery,Know the Ingredient,Ingredient Display,Your class is exploring a ingredient display. The teacher shows safe pictures or clean examples. Complete a simple know the ingredient challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-032,Nursery,Build a Food Journey,School Lunch Scenario,Your class is exploring a school lunch scenario. The teacher shows safe pictures or clean examples. Complete a simple build a food journey challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-033,Nursery,Make a Food Choice,Water Station,Your class is exploring a water station. The teacher shows safe pictures or clean examples. Complete a simple make a food choice challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-034,Nursery,Read the Label,Storage Shelf,Your class is exploring a storage shelf. The teacher shows safe pictures or clean examples. Complete a simple read the label challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-035,Nursery,Plan a Meal,Market Basket,Your class is exploring a market basket. The teacher shows safe pictures or clean examples. Complete a simple plan a meal challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-036,Nursery,Use Water Wisely,Food Journey Map,Your class is exploring a food journey map. The teacher shows safe pictures or clean examples. Complete a simple use water wisely challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-037,Nursery,Reduce Food Waste,School Food-Waste Station,Your class is exploring a school food-waste station. The teacher shows safe pictures or clean examples. Complete a simple reduce food waste challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-038,Nursery,Think Seasonally,School Garden,Your class is exploring a school garden. The teacher shows safe pictures or clean examples. Complete a simple think seasonally challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-039,Nursery,Store & Handle Responsibly,Classroom Food Table,Your class is exploring a classroom food table. The teacher shows safe pictures or clean examples. Complete a simple store & handle responsibly challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-040,Nursery,Solve a Food-System Challenge,Harvest Basket,Your class is exploring a harvest basket. The teacher shows safe pictures or clean examples. Complete a simple solve a food-system challenge challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-041,Nursery,Know the Ingredient,School Lunch Scenario,Your class is exploring a school lunch scenario. The teacher shows safe pictures or clean examples. Complete a simple know the ingredient challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-042,Nursery,Build a Food Journey,Water Station,Your class is exploring a water station. The teacher shows safe pictures or clean examples. Complete a simple build a food journey challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-043,Nursery,Make a Food Choice,Storage Shelf,Your class is exploring a storage shelf. The teacher shows safe pictures or clean examples. Complete a simple make a food choice challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-044,Nursery,Read the Label,Market Basket,Your class is exploring a market basket. The teacher shows safe pictures or clean examples. Complete a simple read the label challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-045,Nursery,Plan a Meal,Food Journey Map,Your class is exploring a food journey map. The teacher shows safe pictures or clean examples. Complete a simple plan a meal challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-046,Nursery,Use Water Wisely,School Food-Waste Station,Your class is exploring a school food-waste station. The teacher shows safe pictures or clean examples. Complete a simple use water wisely challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-047,Nursery,Reduce Food Waste,School Garden,Your class is exploring a school garden. The teacher shows safe pictures or clean examples. Complete a simple reduce food waste challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-048,Nursery,Think Seasonally,Classroom Food Table,Your class is exploring a classroom food table. The teacher shows safe pictures or clean examples. Complete a simple think seasonally challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-049,Nursery,Store & Handle Responsibly,Harvest Basket,Your class is exploring a harvest basket. The teacher shows safe pictures or clean examples. Complete a simple store & handle responsibly challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-050,Nursery,Solve a Food-System Challenge,Ingredient Display,Your class is exploring a ingredient display. The teacher shows safe pictures or clean examples. Complete a simple solve a food-system challenge challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-051,Nursery,Know the Ingredient,Water Station,Your class is exploring a water station. The teacher shows safe pictures or clean examples. Complete a simple know the ingredient challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-052,Nursery,Build a Food Journey,Storage Shelf,Your class is exploring a storage shelf. The teacher shows safe pictures or clean examples. Complete a simple build a food journey challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
FSC-053,Nursery,Make a Food Choice,Market Basket,Your class is exploring a market basket. The teacher shows safe pictures or clean examples. Complete a simple make a food choice challenge.,Look carefully. Match or sort the examples. Choose one good action and tell the teacher why it helps.,"Pointing/matching, simple sort, drawing, count or one spoken reason.",Recognizes the item or situation; makes a sensible choice; uses one relevant word; handles materials safely.,Draw what should happen next.,"Use only teacher-approved materials. No tasting is required. Follow school rules for food handling, allergies, handwashing and sanitation. Teachers control knives, heat, electrical equipment, chemicals and processing machinery."
